Date,ES,6E,6M,ZN,ZC,GC
1999-01-04,1252.5,1.1921,0.091725,106.2656,228.0,306.7
1999-01-05,1265.0,1.1875,0.0924,105.9688,229.5,306.3
1999-01-06,1292.27,1.1697,0.093125,106.1563,235.75,307.2
1999-01-07,1290.0,1.1804,0.087825,105.8281,232.25,311.4
1999-01-08,1299.27,1.1684,0.0875,105.1875,234.5,311.0
1999-01-11,1286.0,1.1578,0.0862,104.9375,232.5,312.6
1999-01-12,1263.0,1.1641,0.08335,105.2969,229.0,307.9
1999-01-13,1250.73,1.1743,0.07805,105.6875,227.0,305.4
1999-01-14,1230.5,1.1797,0.0774,106.2188,227.25,305.4
1999-01-15,1260.5,1.1677,0.0824,105.8281,227.25,305.3
1999-01-19,1268.73,1.1698,0.0836,105.7344,225.0,305.0
1999-01-20,1280.0,1.1643,0.0836,105.4844,226.25,305.8
1999-01-21,1244.5,1.1687,0.0841,105.875,226.75,306.3
1999-01-22,1243.5,1.1673,0.083825,106.3906,227.0,304.9
1999-01-25,1255.27,1.1641,0.0828,106.4063,226.0,306.1
1999-01-26,1277.27,1.1646,0.0838,106.25,226.5,304.4
1999-01-27,1260.5,1.1516,0.07885,106.3594,226.25,301.6
1999-01-28,1277.5,1.1503,0.081,106.4063,227.0,303.0
1999-01-29,1293.5,1.1448,0.082,106.5156,225.25,304.6
1999-02-01,1286.27,1.1393,0.0819,105.9375,226.25,307.6
1999-02-02,1277.27,1.1428,0.08205,105.5781,228.0,307.4
1999-02-03,1290.5,1.1398,0.082,105.2969,226.75,305.8
1999-02-04,1271.0,1.141,0.0824,104.7031,228.0,308.1
1999-02-05,1255.27,1.134,0.0825,104.4844,228.5,307.5
1999-02-08,1259.0,1.1399,0.0825,104.625,228.75,308.3
1999-02-09,1230.5,1.1363,0.082675,104.8438,227.75,306.2
1999-02-10,1237.0,1.1418,0.0838,104.7656,231.0,305.9
1999-02-11,1274.27,1.1363,0.08415,104.7344,228.0,306.5
1999-02-12,1250.0,1.141,0.084825,103.8125,226.5,308.7
1999-02-16,1254.0,1.1331,0.085925,103.875,225.25,304.8
1999-02-17,1241.0,1.1365,0.0858,104.1563,224.75,303.7
1999-02-18,1250.0,1.133,0.0855,103.8125,226.0,304.9
1999-02-19,1255.27,1.1187,0.08515,103.6719,225.75,307.1
1999-02-22,1286.5,1.1161,0.0856,103.9531,224.75,306.1
1999-02-23,1287.5,1.113,0.0852,103.5625,225.5,306.5
1999-02-24,1265.27,1.111,0.0855,103.0,219.5,306.9
1999-02-25,1253.5,1.1167,0.0852,102.2188,219.0,307.5
1999-02-26,1247.5,1.1138,0.08635,102.4531,216.0,306.5
1999-03-01,1251.0,1.1006,0.08585,101.8125,217.25,306.4
1999-03-02,1241.5,1.1034,0.085675,102.0313,222.25,306.7
1999-03-03,1246.0,1.1004,0.0854,101.8125,221.25,307.1
1999-03-04,1261.73,1.0933,0.086,101.5781,239.0,308.2
1999-03-05,1291.0,1.0934,0.0862,102.0938,238.75,308.1
1999-03-08,1295.73,1.0997,0.0874,102.1719,243.5,311.3
1999-03-09,1292.27,1.1001,0.0875,102.6719,242.5,311.9
1999-03-10,1301.5,1.1063,0.0885,102.5625,244.0,312.7
1999-03-11,1317.0,1.1143,0.0893,102.5625,245.0,314.0
1999-03-12,1303.73,1.1016,0.0904,102.8125,242.75,312.0
1999-03-15,1319.27,1.1048,0.0905,102.9531,241.25,306.0
1999-03-16,1319.0,1.111,0.0904,103.2031,244.5,302.4
1999-03-17,1311.73,1.1114,0.086775,103.0313,246.0,302.6
1999-03-18,1331.18,1.108,0.0866,103.1719,245.0,302.3
1999-03-19,1309.5,1.0997,0.0864,102.8125,248.25,303.4
1999-03-22,1323.73,1.0997,0.08625,102.6406,250.25,303.6
1999-03-23,1284.5,1.1017,0.086775,102.2031,247.25,303.5
1999-03-24,1292.0,1.0999,0.086825,102.4219,246.5,302.8
1999-03-25,1316.5,1.0942,0.0874,102.1094,248.25,301.8
1999-03-26,1309.5,1.0936,0.0882,102.1094,250.0,298.0
1999-03-29,1329.0,1.0907,0.0891,101.8125,249.75,298.8
1999-03-30,1328.5,1.0885,0.0889,102.2031,249.5,297.8
1999-03-31,1305.73,1.0925,0.0897,101.9219,243.75,298.4
1999-04-01,1315.27,1.096,0.0895,101.7813,241.25,298.5
1999-04-05,1346.0,1.0879,0.0907,102.4219,239.25,296.8
1999-04-06,1343.27,1.1007,0.0904,102.8438,236.75,298.3
1999-04-07,1351.27,1.0939,0.091,102.75,238.5,298.5
1999-04-08,1368.5,1.0913,0.0908,103.4531,237.5,298.7
1999-04-09,1371.0,1.0974,0.0903,103.4219,239.0,299.4
1999-04-12,1385.0,1.0995,0.0907,103.4219,234.5,300.5
1999-04-13,1375.5,1.094,0.0905,103.0625,235.5,301.6
1999-04-14,1352.27,1.0967,0.090675,103.0,238.0,299.2
1999-04-15,1345.0,1.0871,0.090675,102.875,240.5,301.5
1999-04-16,1335.73,1.0882,0.091175,102.5313,238.75,301.8
1999-04-19,1314.5,1.08,0.092575,102.7813,241.0,302.4
1999-04-20,1327.68,1.0793,0.092275,102.9844,244.5,302.0
1999-04-21,1364.73,1.0785,0.0928,102.9531,243.25,301.6
1999-04-22,1382.32,1.0779,0.093,102.3906,239.25,301.6
1999-04-23,1378.27,1.0775,0.0932,102.4219,240.0,301.4
1999-04-26,1384.73,1.0748,0.09305,102.5625,234.75,299.2
1999-04-27,1389.73,1.0828,0.09285,102.7031,232.25,300.3
1999-04-28,1372.27,1.0785,0.09285,102.5313,233.0,300.9
1999-04-29,1360.5,1.0751,0.092475,102.8906,231.0,304.0
1999-04-30,1349.5,1.0744,0.09235,101.9219,230.5,304.8
1999-05-03,1372.5,1.0737,0.092975,101.8906,232.25,304.6
1999-05-04,1356.0,1.0792,0.092725,101.5781,235.25,303.9
1999-05-05,1365.27,1.0904,0.09265,101.7188,233.25,305.5
1999-05-06,1355.5,1.0971,0.092,101.0781,231.75,307.9
1999-05-07,1364.5,1.09,0.0925,100.8906,231.0,300.7
1999-05-10,1360.27,1.0954,0.0931,101.0469,233.75,295.0
1999-05-11,1371.5,1.0869,0.09325,100.7813,234.5,295.4
1999-05-12,1382.5,1.0804,0.09295,100.9219,235.5,294.3
1999-05-13,1388.5,1.0818,0.0934,101.5625,236.0,294.5
1999-05-14,1352.5,1.0804,0.0928,100.25,234.5,293.2
1999-05-17,1354.25,1.082,0.0929,100.0469,236.25,291.6
1999-05-18,1354.5,1.0839,0.093275,99.8281,234.5,291.0
1999-05-19,1362.5,1.0812,0.0928,100.1563,233.0,290.5
1999-05-20,1355.75,1.0782,0.0928,100.1094,233.0,291.7
1999-05-21,1348.0,1.0729,0.091725,100.4063,232.25,290.2
1999-05-24,1325.5,1.0741,0.0916,100.5469,226.25,289.8
1999-05-25,1297.25,1.0742,0.089,100.5,228.75,287.6
1999-05-26,1317.5,1.0617,0.0896,100.1406,228.75,286.3
1999-05-27,1298.75,1.0589,0.0882,99.5781,230.5,287.7
1999-05-28,1310.0,1.0547,0.0891,99.5781,233.5,287.5
1999-06-01,1308.5,1.0593,0.08825,98.7031,230.25,284.9
1999-06-02,1309.1,1.0491,0.0892,98.7031,230.75,282.5
1999-06-03,1318.0,1.0466,0.08955,98.8438,236.5,283.0
1999-06-04,1343.0,1.0513,0.0908,98.8438,234.5,282.7
1999-06-07,1345.5,1.0424,0.0923,98.875,236.5,282.6
1999-06-08,1334.5,1.0597,0.0916,98.7656,236.5,279.1
1999-06-09,1332.0,1.0611,0.0914,98.625,234.75,276.1
1999-06-10,1320.5,1.0623,0.09115,98.3125,234.0,275.1
1999-06-11,1309.25,1.0682,0.0917,97.7656,231.0,277.5
1999-06-14,1309.5,1.0562,0.0919,98.0469,231.75,277.2
1999-06-15,1318.5,1.0561,0.09235,98.1563,227.25,276.2
1999-06-16,1343.0,1.0451,0.09355,98.3125,228.75,274.8
1999-06-17,1355.5,1.0477,0.094475,99.2188,228.75,274.5
1999-06-18,1371.25,1.0522,0.094325,98.9063,231.75,275.4
1999-06-21,1374.75,1.0481,0.09435,98.5781,230.0,275.1
1999-06-22,1364.0,1.0455,0.09475,97.875,227.25,274.7
1999-06-23,1357.0,1.046,0.094175,97.4844,228.0,276.8
1999-06-24,1347.5,1.0539,0.0935,97.2344,224.0,277.4
1999-06-25,1343.8,1.0561,0.092675,97.375,223.5,275.7
1999-06-28,1359.0,1.0482,0.0939,97.75,222.75,276.6
