Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1999-01-04,199903,199906,1.1866,2924.0,1.1921,2.0,1.4368500000000002
1999-01-05,199903,199906,1.182,2111.0,1.1875,1.0,1.4322500000000002
1999-01-06,199903,199906,1.1642,5106.0,1.1697,1.0,1.4144500000000004
1999-01-07,199903,199906,1.1749,3893.0,1.1804,1.0,1.4251500000000004
1999-01-08,199903,199906,1.1629,4032.0,1.1684,0.0,1.4131500000000004
1999-01-11,199903,199906,1.1523,6195.0,1.1578,0.0,1.4025500000000002
1999-01-12,199903,199906,1.1586,3266.0,1.1641,0.0,1.4088500000000002
1999-01-13,199903,199906,1.1688,5765.0,1.1743,0.0,1.4190500000000004
1999-01-14,199903,199906,1.1742,1304.0,1.1797,0.0,1.4244500000000002
1999-01-15,199903,199906,1.1622,1065.0,1.1677,0.0,1.4124500000000002
1999-01-19,199903,199906,1.1643,1787.0,1.1698,102.0,1.4145500000000002
1999-01-20,199903,199906,1.1586,1596.0,1.1643,0.0,1.4090500000000001
1999-01-21,199903,199906,1.163,1115.0,1.1687,0.0,1.4134500000000005
1999-01-22,199903,199906,1.1616,1246.0,1.1673,0.0,1.4120500000000002
1999-01-25,199903,199906,1.1584,975.0,1.1641,0.0,1.4088500000000002
1999-01-26,199903,199906,1.1589,1853.0,1.1646,0.0,1.4093500000000003
1999-01-27,199903,199906,1.1459,14831.0,1.1516,8.0,1.3963500000000004
1999-01-28,199903,199906,1.1446,7198.0,1.1503,0.0,1.3950500000000003
1999-01-29,199903,199906,1.1391,2584.0,1.1448,0.0,1.3895500000000003
1999-02-01,199903,199906,1.1336,5326.0,1.1393,2.0,1.3840500000000002
1999-02-02,199903,199906,1.1371,2621.0,1.1428,8.0,1.3875500000000005
1999-02-03,199903,199906,1.1341,4839.0,1.1398,5.0,1.3845500000000004
1999-02-04,199903,199906,1.1355,6022.0,1.141,5.0,1.3857500000000003
1999-02-05,199903,199906,1.1285,2585.0,1.134,0.0,1.3787500000000001
1999-02-08,199903,199906,1.1344,10459.0,1.1399,5.0,1.3846500000000002
1999-02-09,199903,199906,1.1308,2001.0,1.1363,0.0,1.3810500000000006
1999-02-10,199903,199906,1.1363,4079.0,1.1418,0.0,1.3865500000000002
1999-02-11,199903,199909,1.1249,2915.0,1.1363,34.0,1.3751500000000005
1999-02-12,199903,199909,1.1296,4004.0,1.141,0.0,1.3798500000000002
1999-02-16,199903,199909,1.1217,6745.0,1.1331,0.0,1.3719500000000004
1999-02-17,199903,199909,1.1251,4953.0,1.1365,0.0,1.3753500000000005
1999-02-18,199903,199909,1.1216,1737.0,1.133,0.0,1.3718500000000002
1999-02-19,199903,199909,1.1075,5492.0,1.1187,0.0,1.3575500000000003
1999-02-22,199903,199909,1.1047,10224.0,1.1161,0.0,1.3549500000000005
1999-02-23,199903,199909,1.1016,2710.0,1.113,40.0,1.3518500000000002
1999-02-24,199903,199909,1.0996,6571.0,1.111,0.0,1.3498500000000004
1999-02-25,199903,199909,1.1053,6612.0,1.1167,0.0,1.3555500000000005
1999-02-26,199903,199909,1.1024,6143.0,1.1138,0.0,1.3526500000000001
1999-03-01,199903,199909,1.0893,10194.0,1.1006,6.0,1.3394500000000003
1999-03-02,199903,199909,1.0925,9488.0,1.1034,5.0,1.3422500000000004
1999-03-03,199903,199909,1.0895,8044.0,1.1004,5.0,1.3392500000000003
1999-03-04,199903,199909,1.0825,8316.0,1.0933,0.0,1.3321500000000004
1999-03-05,199903,199909,1.083,6114.0,1.0934,0.0,1.3322500000000002
1999-03-08,199903,199909,1.0892,12035.0,1.0997,0.0,1.3385500000000001
1999-03-09,199903,199909,1.0894,7440.0,1.1001,0.0,1.3389500000000005
1999-03-10,199903,199909,1.0955,8051.0,1.1063,0.0,1.3451500000000003
1999-03-11,199903,199909,1.1032,2281.0,1.1143,5.0,1.3531500000000003
1999-03-12,199903,199909,1.0905,3193.0,1.1016,1.0,1.3404500000000001
1999-03-15,199903,199909,1.0951,1683.0,1.1048,0.0,1.3436500000000002
1999-03-16,199906,199909,1.1051,20198.0,1.111,0.0,1.3498500000000004
1999-03-17,199906,199909,1.1055,9779.0,1.1114,0.0,1.3502500000000004
1999-03-18,199906,199909,1.1021,10309.0,1.108,0.0,1.3468500000000003
1999-03-19,199906,199909,1.0938,7723.0,1.0997,0.0,1.3385500000000001
1999-03-22,199906,199909,1.0965,8009.0,1.0997,0.0,1.3385500000000001
1999-03-23,199906,199909,1.0958,7639.0,1.1017,3.0,1.3405500000000004
1999-03-24,199906,199909,1.094,7472.0,1.0999,2.0,1.3387500000000006
1999-03-25,199906,199909,1.0883,5306.0,1.0942,0.0,1.3330500000000005
1999-03-26,199906,199912,1.0813,20950.0,1.0936,12.0,1.3260500000000004
1999-03-29,199906,199912,1.0784,10152.0,1.0907,0.0,1.3231500000000005
1999-03-30,199906,199912,1.0762,3013.0,1.0885,0.0,1.3209500000000003
1999-03-31,199906,199912,1.0802,7379.0,1.0925,0.0,1.3249500000000003
1999-04-01,199906,199912,1.0833,6653.0,1.096,0.0,1.3284500000000006
1999-04-05,199906,199912,1.0756,2610.0,1.0879,0.0,1.3203500000000004
1999-04-06,199906,199912,1.0884,12017.0,1.1007,0.0,1.3331500000000003
1999-04-07,199906,199912,1.0816,6807.0,1.0939,0.0,1.3263500000000006
1999-04-08,199906,199912,1.0784,15038.0,1.0913,0.0,1.3237500000000004
1999-04-09,199906,199912,1.0845,7056.0,1.0974,0.0,1.3298500000000004
1999-04-12,199906,199912,1.0866,5949.0,1.0995,42.0,1.3319500000000004
1999-04-13,199906,199912,1.0811,5621.0,1.094,0.0,1.3264500000000004
1999-04-14,199906,199912,1.0838,1898.0,1.0967,0.0,1.3291500000000003
1999-04-15,199906,199912,1.0742,12939.0,1.0871,0.0,1.3195500000000004
1999-04-16,199906,199912,1.0753,8416.0,1.0882,0.0,1.3206500000000005
1999-04-19,199906,199912,1.0671,9720.0,1.08,1.0,1.3124500000000006
1999-04-20,199906,199912,1.0664,6828.0,1.0793,0.0,1.3117500000000004
1999-04-21,199906,199912,1.0656,9707.0,1.0785,0.0,1.3109500000000005
1999-04-22,199906,199912,1.065,11280.0,1.0779,0.0,1.3103500000000006
1999-04-23,199906,199912,1.0646,8268.0,1.0775,0.0,1.3099500000000002
1999-04-26,199906,199912,1.0619,2252.0,1.0748,0.0,1.3072500000000002
1999-04-27,199906,199912,1.0698,4521.0,1.0828,2.0,1.3152500000000003
1999-04-28,199906,199912,1.0655,6202.0,1.0785,1.0,1.3109500000000005
1999-04-29,199906,199912,1.0621,7185.0,1.0751,51.0,1.3075500000000004
