Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1995-04-25,199506,199509,0.1568,528.0,0.1409,304.0,-0.05520000000000003
1995-04-26,199506,199509,0.1589,659.0,0.1424,207.0,-0.053700000000000025
1995-04-27,199506,199509,0.155,701.0,0.1385,206.0,-0.05760000000000001
1995-04-28,199506,199509,0.1557,477.0,0.139,67.0,-0.05710000000000001
1995-05-01,199506,199509,0.157,44.0,0.1405,9.0,-0.05560000000000001
1995-05-02,199506,199509,0.1587,364.0,0.1447,187.0,-0.05140000000000003
1995-05-03,199506,199509,0.1598,539.0,0.145,117.0,-0.051100000000000034
1995-05-04,199506,199509,0.16,136.0,0.1445,150.0,-0.051600000000000035
1995-05-05,199506,199509,0.1603,57.0,0.1448,29.0,-0.05130000000000001
1995-05-08,199506,199509,0.1609,247.0,0.1455,98.0,-0.050600000000000034
1995-05-09,199506,199509,0.1605,430.0,0.146,159.0,-0.05010000000000003
1995-05-10,199506,199509,0.1603,567.0,0.1463,114.0,-0.04980000000000001
1995-05-11,199506,199509,0.1616,220.0,0.1476,105.0,-0.048500000000000015
1995-05-12,199506,199509,0.1608,268.0,0.1461,172.0,-0.05000000000000002
1995-05-15,199506,199509,0.161,162.0,0.1465,293.0,-0.04960000000000003
1995-05-16,199506,199509,0.1612,143.0,0.147,119.0,-0.04910000000000003
1995-05-17,199506,199509,0.162,251.0,0.147,45.0,-0.04910000000000003
1995-05-18,199506,199509,0.164,268.0,0.1496,143.0,-0.046500000000000014
1995-05-19,199506,199509,0.1636,227.0,0.1497,306.0,-0.046400000000000025
1995-05-22,199506,199512,0.1644,209.0,0.1408,307.0,-0.04460000000000003
1995-05-23,199506,199512,0.1628,201.0,0.1392,177.0,-0.04620000000000005
1995-05-24,199506,199512,0.1618,249.0,0.1375,64.0,-0.047900000000000026
1995-05-25,199506,199512,0.1609,396.0,0.1366,11.0,-0.04880000000000004
1995-05-26,199506,199512,0.15885,102.0,0.1353,13.0,-0.05010000000000003
1995-05-30,199506,199512,0.1565,244.0,0.1323,17.0,-0.053100000000000036
1995-05-31,199506,199512,0.15735,138.0,0.134,2.0,-0.05140000000000003
1995-06-01,199506,199512,0.1586,169.0,0.1344,18.0,-0.051000000000000045
1995-06-02,199506,199512,0.15865,157.0,0.1339,17.0,-0.051500000000000046
1995-06-05,199506,199512,0.1605,327.0,0.1353,80.0,-0.05010000000000003
