Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1979-10-30,198004,198004,402.5,3510.0,402.5,3510.0,1543.2
1979-10-31,198004,198004,405.0,1650.0,405.0,1650.0,1545.7
1979-11-01,198004,198004,391.2,3291.0,391.2,3291.0,1531.8999999999999
1979-11-02,198006,198006,406.0,2216.0,406.0,2216.0,1538.2
1979-11-05,198006,198006,410.5,3130.0,410.5,3130.0,1542.7
1979-11-06,198104,198104,469.3,5335.0,469.3,5335.0,1559.3999999999999
1979-11-07,198104,198104,468.8,2030.0,468.8,2030.0,1558.8999999999999
1979-11-08,198104,198104,467.0,351.0,467.0,351.0,1557.0999999999997
1979-11-09,198104,198104,463.1,50.0,463.1,50.0,1553.2
1979-11-12,198104,198104,469.2,849.0,469.2,849.0,1559.3
1979-11-13,198104,198104,455.5,224.0,455.5,224.0,1545.5999999999997
1979-11-14,198104,198104,461.4,161.0,461.4,161.0,1551.4999999999998
1979-11-15,198104,198104,456.2,309.0,456.2,309.0,1546.3
1979-11-16,198104,198104,459.7,942.0,459.7,942.0,1549.8
1979-11-19,198104,198104,458.3,308.0,458.3,308.0,1548.3999999999999
1979-11-20,198104,198104,464.8,2354.0,464.8,2354.0,1554.8999999999999
1979-11-21,198104,198104,467.7,4717.0,467.7,4717.0,1557.8
1979-11-23,198104,198104,467.8,176.0,467.8,176.0,1557.8999999999999
1979-11-26,198104,198104,460.3,1283.0,460.3,1283.0,1550.3999999999999
1979-11-27,198104,198104,468.4,940.0,468.4,940.0,1558.4999999999998
1979-11-28,198104,198104,483.5,2295.0,483.5,2295.0,1573.5999999999997
1979-11-29,198104,198104,481.2,3644.0,481.2,3644.0,1571.3
1979-11-30,198104,198104,493.9,1890.0,493.9,1890.0,1583.9999999999998
1979-12-03,198104,198104,509.9,2383.0,509.9,2383.0,1600.0000000000002
1979-12-04,198104,198104,504.5,690.0,504.5,690.0,1594.6000000000001
1979-12-05,198104,198104,510.1,1185.0,510.1,1185.0,1600.2
1979-12-06,198104,198104,503.3,4064.0,503.3,4064.0,1593.3999999999999
1979-12-07,198104,198104,502.4,1072.0,502.4,1072.0,1592.5000000000002
1979-12-10,198104,198104,514.2,1375.0,514.2,1375.0,1604.3
1979-12-11,198104,198104,531.7,3365.0,531.7,3365.0,1621.7999999999995
1979-12-12,198104,198104,531.5,1195.0,531.5,1195.0,1621.5999999999997
1979-12-13,198104,198104,549.3,1122.0,549.3,1122.0,1639.3999999999994
1979-12-14,198104,198104,551.7,756.0,551.7,756.0,1641.7999999999995
1979-12-17,198104,198104,556.8,1804.0,556.8,1804.0,1646.8999999999994
1979-12-18,198104,198104,573.1,2374.0,573.1,2374.0,1663.1999999999996
1979-12-19,198104,198104,564.0,4057.0,564.0,4057.0,1654.0999999999997
1979-12-20,198104,198104,562.4,3064.0,562.4,3064.0,1652.4999999999998
1979-12-21,198104,198104,580.9,880.0,580.9,880.0,1670.9999999999998
1979-12-26,198104,198104,605.9,656.0,605.9,656.0,1695.9999999999998
1979-12-27,198104,198104,627.0,2632.0,627.0,2632.0,1717.0999999999997
1979-12-28,198104,198104,626.8,658.0,626.8,658.0,1716.8999999999994
1979-12-31,198104,198104,646.0,1122.0,646.0,1122.0,1736.0999999999997
1980-01-02,198104,198104,671.0,780.0,671.0,780.0,1761.0999999999992
1980-01-03,198104,198104,696.0,868.0,696.0,868.0,1786.0999999999988
1980-01-04,198104,198104,726.3,769.0,726.3,769.0,1816.399999999999
1980-01-07,198104,198104,749.7,3355.0,749.7,3355.0,1839.799999999999
1980-01-08,198104,198104,724.7,580.0,724.7,580.0,1814.799999999999
1980-01-09,198104,198104,706.2,395.0,706.2,395.0,1796.299999999999
1980-01-10,198104,198104,699.0,583.0,699.0,583.0,1789.0999999999988
1980-01-11,198104,198104,724.0,1824.0,724.0,1824.0,1814.0999999999988
1980-01-14,198104,198104,749.0,532.0,749.0,532.0,1839.0999999999988
1980-01-15,198104,198104,786.5,572.0,786.5,572.0,1876.5999999999992
1980-01-16,198104,198104,836.5,1002.0,836.5,1002.0,1926.5999999999988
1980-01-17,198104,198104,886.5,508.0,886.5,508.0,1976.5999999999988
1980-01-18,198104,198104,936.5,483.0,936.5,483.0,2026.5999999999983
1980-01-21,198104,198104,986.5,73.0,986.5,73.0,2076.5999999999985
1980-01-22,198104,198104,936.5,466.0,936.5,466.0,2026.5999999999983
1980-01-23,198104,198104,886.5,589.0,886.5,589.0,1976.5999999999988
1980-01-24,198104,198104,836.5,77.0,836.5,77.0,1926.5999999999988
1980-01-25,198104,198104,786.5,589.0,786.5,589.0,1876.5999999999992
1980-01-28,198104,198104,772.5,725.0,772.5,725.0,1862.5999999999988
1980-01-29,198104,198104,822.5,357.0,822.5,357.0,1912.5999999999988
1980-01-30,198104,198104,806.5,969.0,806.5,969.0,1896.5999999999992
1980-01-31,198104,198104,828.5,973.0,828.5,973.0,1918.5999999999988
1980-02-01,198104,198104,833.7,1127.0,833.7,1127.0,1923.799999999999
1980-02-04,198104,198104,805.7,755.0,805.7,755.0,1895.799999999999
1980-02-05,198104,198104,830.7,1665.0,830.7,1665.0,1920.799999999999
1980-02-06,198104,198104,855.7,2694.0,855.7,2694.0,1945.799999999999
1980-02-07,198104,198104,851.7,546.0,851.7,546.0,1941.799999999999
1980-02-08,198104,198104,862.0,979.0,862.0,979.0,1952.0999999999988
1980-02-11,198104,198104,880.7,849.0,880.7,849.0,1970.7999999999986
1980-02-12,198104,198104,871.9,277.0,871.9,277.0,1961.9999999999989
1980-02-13,198104,198104,861.2,370.0,861.2,370.0,1951.299999999999
1980-02-14,198104,198104,836.2,732.0,836.2,732.0,1926.299999999999
1980-02-15,198104,198104,819.8,371.0,819.8,371.0,1909.899999999999
1980-02-19,198104,198104,794.8,668.0,794.8,668.0,1884.899999999999
1980-02-20,198104,198104,805.9,262.0,805.9,262.0,1895.9999999999993
1980-02-21,198104,198104,805.0,339.0,805.0,339.0,1895.0999999999992
1980-02-22,198104,198104,780.0,152.0,780.0,152.0,1870.0999999999992
1980-02-25,198104,198104,795.7,626.0,795.7,626.0,1885.799999999999
1980-02-26,198104,198104,770.7,384.0,770.7,384.0,1860.799999999999
1980-02-27,198104,198104,776.8,565.0,776.8,565.0,1866.899999999999
1980-02-28,198104,198104,791.1,709.0,791.1,709.0,1881.1999999999991
1980-02-29,198104,198104,780.0,1273.0,780.0,1273.0,1870.0999999999992
1980-03-03,198104,198104,780.0,1678.0,780.0,1678.0,1870.0999999999992
1980-03-04,198104,198104,794.8,1136.0,794.8,1136.0,1884.899999999999
1980-03-05,198104,198104,791.0,1237.0,791.0,1237.0,1881.0999999999992
1980-03-06,198104,198104,766.0,284.0,766.0,284.0,1856.0999999999988
1980-03-07,198104,198104,742.5,272.0,742.5,272.0,1832.5999999999988
1980-03-10,198104,198104,705.0,738.0,705.0,738.0,1795.0999999999988
1980-03-11,198104,198104,694.3,1053.0,694.3,1053.0,1784.399999999999
1980-03-12,198104,198104,702.1,2656.0,702.1,2656.0,1792.1999999999991
1980-03-13,198104,198104,664.6,515.0,664.6,515.0,1754.6999999999991
1980-03-14,198104,198104,639.0,2054.0,639.0,2054.0,1729.0999999999997
1980-03-17,198104,198104,589.0,2323.0,589.0,2323.0,1679.0999999999997
1980-03-18,198104,198104,584.5,1958.0,584.5,1958.0,1674.5999999999997
1980-03-19,198104,198104,634.5,3497.0,634.5,3497.0,1724.5999999999997
1980-03-20,198104,198104,641.3,424.0,641.3,424.0,1731.3999999999994
1980-03-21,198104,198104,669.5,472.0,669.5,472.0,1759.5999999999992
1980-03-24,198104,198104,657.9,340.0,657.9,340.0,1747.9999999999993
1980-03-25,198104,198104,633.0,800.0,633.0,800.0,1723.0999999999997
1980-03-26,198104,198104,608.0,1089.0,608.0,1089.0,1698.0999999999997
1980-03-27,198104,198104,583.0,640.0,583.0,640.0,1673.0999999999997
1980-03-28,198104,198104,606.3,1507.0,606.3,1507.0,1696.3999999999994
1980-03-31,198104,198104,604.5,163.0,604.5,163.0,1694.5999999999997
1980-04-01,198104,198104,599.0,295.0,599.0,295.0,1689.0999999999997
1980-04-02,198104,198104,588.0,168.0,588.0,168.0,1678.0999999999997
1980-04-03,198104,198104,581.5,339.0,581.5,339.0,1671.5999999999997
1980-04-07,198104,198104,606.5,148.0,606.5,148.0,1696.5999999999997
1980-04-08,198104,198104,631.5,123.0,631.5,123.0,1721.5999999999997
1980-04-09,198104,198104,636.8,249.0,636.8,249.0,1726.8999999999994
1980-04-10,198104,198104,630.7,113.0,630.7,113.0,1720.7999999999995
1980-04-11,198104,198104,626.6,256.0,626.6,256.0,1716.6999999999996
1980-04-14,198104,198104,601.6,98.0,601.6,98.0,1691.6999999999996
1980-04-15,198104,198104,605.2,1050.0,605.2,1050.0,1695.2999999999995
1980-04-16,198104,198104,588.2,228.0,588.2,228.0,1678.2999999999995
1980-04-17,198104,198104,592.1,137.0,592.1,137.0,1682.1999999999996
1980-04-18,198104,198104,589.4,220.0,589.4,220.0,1679.4999999999998
1980-04-21,198104,198104,564.4,1187.0,564.4,1187.0,1654.4999999999998
1980-04-22,198104,198104,572.7,1224.0,572.7,1224.0,1662.7999999999995
1980-04-23,198104,198104,578.3,1841.0,578.3,1841.0,1668.3999999999994
1980-04-24,198104,198104,603.3,173.0,603.3,173.0,1693.3999999999994
1980-04-25,198104,198104,617.1,872.0,617.1,872.0,1707.1999999999996
1980-04-28,198104,198104,592.1,82.0,592.1,82.0,1682.1999999999996
1980-04-29,198104,198104,592.5,392.0,592.5,392.0,1682.5999999999992
1980-04-30,198104,198104,567.5,265.0,567.5,265.0,1657.5999999999997
1980-05-01,198104,198104,577.0,640.0,577.0,640.0,1667.0999999999997
1980-05-02,198104,198104,574.9,75.0,574.9,75.0,1664.9999999999998
