Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1978-01-04,197903,197903,236.5,11.0,236.5,11.0,623.25
1978-01-05,197903,197903,236.25,10.0,236.25,10.0,623.0
1978-01-06,197903,197903,235.5,32.0,235.5,32.0,622.25
1978-01-09,197903,197903,235.75,27.0,235.75,27.0,622.5
1978-01-10,197903,197903,236.0,216.0,236.0,216.0,622.75
1978-01-11,197903,197903,237.75,43.0,237.75,43.0,624.5
1978-01-12,197903,197903,238.0,468.0,238.0,468.0,624.75
1978-01-13,197903,197903,238.25,43.0,238.25,43.0,625.0
1978-01-16,197903,197903,238.0,107.0,238.0,107.0,624.75
1978-01-17,197903,197903,235.75,131.0,235.75,131.0,622.5
1978-01-18,197903,197903,234.5,29.0,234.5,29.0,621.25
1978-01-19,197903,197903,235.75,66.0,235.75,66.0,622.5
1978-01-20,197903,197903,237.0,90.0,237.0,90.0,623.75
1978-01-23,197903,197903,238.0,26.0,238.0,26.0,624.75
1978-01-24,197903,197903,237.75,22.0,237.75,22.0,624.5
1978-01-25,197903,197903,237.5,80.0,237.5,80.0,624.25
1978-01-26,197903,197903,236.25,196.0,236.25,196.0,623.0
1978-01-27,197903,197903,236.0,16.0,236.0,16.0,622.75
1978-01-30,197903,197903,234.25,34.0,234.25,34.0,621.0
1978-01-31,197903,197903,233.0,112.0,233.0,112.0,619.75
1978-02-01,197903,197903,232.5,55.0,232.5,55.0,619.25
1978-02-02,197903,197903,233.5,125.0,233.5,125.0,620.25
1978-02-03,197903,197903,233.5,71.0,233.5,71.0,620.25
1978-02-06,197903,197903,233.75,86.0,233.75,86.0,620.5
1978-02-07,197903,197903,233.25,78.0,233.25,78.0,620.0
1978-02-08,197903,197903,233.75,139.0,233.75,139.0,620.5
1978-02-09,197903,197903,235.0,791.0,235.0,791.0,621.75
1978-02-10,197903,197903,236.75,210.0,236.75,210.0,623.5
1978-02-13,197903,197903,235.25,92.0,235.25,92.0,622.0
1978-02-14,197903,197903,235.0,188.0,235.0,188.0,621.75
1978-02-15,197903,197903,235.0,182.0,235.0,182.0,621.75
1978-02-16,197903,197903,235.0,155.0,235.0,155.0,621.75
1978-02-17,197903,197903,234.75,151.0,234.75,151.0,621.5
1978-02-21,197903,197903,234.5,252.0,234.5,252.0,621.25
