Date,CurrentContract,CarryContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
1982-05-03,198206,198206,63.6406,17700.0,63.6406,17700.0,-34.67141500000008
1982-05-04,198206,198206,64.1094,11421.0,64.1094,11421.0,-34.20261500000009
1982-05-05,198206,198206,64.2188,14083.0,64.2188,14083.0,-34.09321500000008
1982-05-06,198206,198206,65.1406,9400.0,65.1406,9400.0,-33.171415000000074
1982-05-07,198206,198206,65.3906,6526.0,65.3906,6526.0,-32.921415000000074
1982-05-10,198206,198206,65.2813,4233.0,65.2813,4233.0,-33.03071500000008
1982-05-11,198206,198206,65.3906,5339.0,65.3906,5339.0,-32.921415000000074
1982-05-12,198206,198206,65.0625,6310.0,65.0625,6310.0,-33.24951500000008
1982-05-13,198206,198206,64.8438,3976.0,64.8438,3976.0,-33.46821500000008
1982-05-14,198206,198206,65.2813,4664.0,65.2813,4664.0,-33.03071500000008
1982-05-17,198206,198206,64.875,5243.0,64.875,5243.0,-33.43701500000008
1982-05-18,198206,198206,65.0625,5408.0,65.0625,5408.0,-33.24951500000008
1982-05-19,198206,198206,64.7031,4599.0,64.7031,4599.0,-33.608915000000074
1982-05-20,198206,198206,65.25,5633.0,65.25,5633.0,-33.06201500000008
1982-05-21,198206,198206,65.1719,3006.0,65.1719,3006.0,-33.14011500000009
1982-05-24,198206,198206,65.1406,1918.0,65.1406,1918.0,-33.171415000000074
1982-05-25,198206,198206,64.9219,2490.0,64.9219,2490.0,-33.39011500000009
1982-05-26,198206,198206,64.625,3498.0,64.625,3498.0,-33.68701500000008
1982-05-27,198206,198206,64.5,3730.0,64.5,3730.0,-33.81201500000008
1982-05-28,198206,198206,64.5,3559.0,64.5,3559.0,-33.81201500000008
1982-06-01,198209,198209,63.6563,4383.0,63.6563,4383.0,-34.53071500000008
1982-06-02,198209,198209,63.8906,3698.0,63.8906,3698.0,-34.29641500000008
1982-06-03,198209,198209,63.8125,2570.0,63.8125,2570.0,-34.37451500000008
1982-06-04,198209,198209,63.5,2491.0,63.5,2491.0,-34.68701500000008
1982-06-07,198209,198209,63.6406,3119.0,63.6406,3119.0,-34.54641500000008
1982-06-08,198209,198209,63.5625,2829.0,63.5625,2829.0,-34.62451500000008
1982-06-09,198209,198209,63.5781,2549.0,63.5781,2549.0,-34.60891500000008
1982-06-10,198209,198209,63.3906,3592.0,63.3906,3592.0,-34.79641500000008
1982-06-11,198209,198209,63.8125,2180.0,63.8125,2180.0,-34.37451500000008
1982-06-14,198209,198209,62.8281,3519.0,62.8281,3519.0,-35.35891500000008
1982-06-15,198209,198209,62.8281,2489.0,62.8281,2489.0,-35.35891500000008
1982-06-16,198209,198209,62.6406,2714.0,62.6406,2714.0,-35.54641500000008
1982-06-17,198209,198209,62.0938,3412.0,62.0938,3412.0,-36.09321500000008
1982-06-18,198209,198209,61.4375,5742.0,61.4375,5742.0,-36.74951500000008
1982-06-21,198209,198209,61.3281,5555.0,61.3281,5555.0,-36.85891500000008
1982-06-22,198209,198209,61.3281,5122.0,61.3281,5122.0,-36.85891500000008
1982-06-23,198209,198209,61.125,5199.0,61.125,5199.0,-37.06201500000008
1982-06-24,198209,198209,61.125,5186.0,61.125,5186.0,-37.06201500000008
1982-06-25,198209,198209,61.0469,2072.0,61.0469,2072.0,-37.14011500000008
1982-06-28,198209,198209,61.2969,3122.0,61.2969,3122.0,-36.89011500000008
1982-06-29,198209,198209,61.5,6207.0,61.5,6207.0,-36.68701500000008
1982-06-30,198209,198209,62.0938,6527.0,62.0938,6527.0,-36.09321500000008
1982-07-01,198209,198209,62.2656,6738.0,62.2656,6738.0,-35.92141500000008
1982-07-02,198209,198209,61.8281,2580.0,61.8281,2580.0,-36.35891500000008
1982-07-06,198209,198209,62.0,2343.0,62.0,2343.0,-36.18701500000008
1982-07-07,198209,198209,62.2188,3093.0,62.2188,3093.0,-35.96821500000008
1982-07-08,198209,198209,63.0625,5486.0,63.0625,5486.0,-35.12451500000008
1982-07-09,198209,198209,63.6094,5903.0,63.6094,5903.0,-34.57761500000008
1982-07-12,198209,198209,64.0625,6436.0,64.0625,6436.0,-34.12451500000008
1982-07-13,198209,198209,63.4063,5253.0,63.4063,5253.0,-34.78071500000008
1982-07-14,198209,198209,63.1875,3748.0,63.1875,3748.0,-34.99951500000008
1982-07-15,198209,198209,63.6406,3539.0,63.6406,3539.0,-34.54641500000008
1982-07-16,198209,198209,64.6406,5303.0,64.6406,5303.0,-33.546415000000074
1982-07-19,198209,198209,64.75,5593.0,64.75,5593.0,-33.43701500000008
1982-07-20,198209,198209,64.9688,7728.0,64.9688,7728.0,-33.21821500000008
1982-07-21,198209,198209,64.625,6089.0,64.625,6089.0,-33.56201500000008
1982-07-22,198209,198209,64.9688,5983.0,64.9688,5983.0,-33.21821500000008
1982-07-23,198209,198209,64.7031,2860.0,64.7031,2860.0,-33.483915000000074
1982-07-26,198209,198209,63.6406,5212.0,63.6406,5212.0,-34.54641500000008
1982-07-27,198209,198209,63.7813,5025.0,63.7813,5025.0,-34.40571500000008
1982-07-28,198209,198209,63.3594,5705.0,63.3594,5705.0,-34.82761500000008
1982-07-29,198209,198209,64.1406,7110.0,64.1406,7110.0,-34.046415000000074
1982-07-30,198209,198209,64.5781,3238.0,64.5781,3238.0,-33.608915000000074
1982-08-02,198209,198209,65.5625,4589.0,65.5625,4589.0,-32.62451500000008
1982-08-03,198209,198209,65.125,7372.0,65.125,7372.0,-33.06201500000008
1982-08-04,198209,198209,65.0,11188.0,65.0,11188.0,-33.18701500000008
1982-08-05,198209,198209,64.875,6711.0,64.875,6711.0,-33.31201500000008
1982-08-06,198209,198209,64.2031,5334.0,64.2031,5334.0,-33.983915000000074
1982-08-09,198209,198209,64.7813,6910.0,64.7813,6910.0,-33.40571500000008
1982-08-10,198209,198209,64.75,7301.0,64.75,7301.0,-33.43701500000008
1982-08-11,198209,198209,64.6719,3428.0,64.6719,3428.0,-33.51511500000009
1982-08-12,198209,198209,65.3125,3586.0,65.3125,3586.0,-32.87451500000008
1982-08-13,198209,198209,66.0938,6051.0,66.0938,6051.0,-32.09321500000008
1982-08-16,198209,198209,66.7813,5687.0,66.7813,5687.0,-31.40571500000008
1982-08-17,198209,198209,68.3281,8391.0,68.3281,8391.0,-29.858915000000074
1982-08-18,198209,198209,69.0156,8273.0,69.0156,8273.0,-29.171415000000074
1982-08-19,198209,198209,68.9375,6696.0,68.9375,6696.0,-29.24951500000008
1982-08-20,198209,198209,69.8906,4003.0,69.8906,4003.0,-28.296415000000067
1982-08-23,198209,198209,69.0156,3631.0,69.0156,3631.0,-29.171415000000074
1982-08-24,198209,198209,69.6406,5331.0,69.6406,5331.0,-28.546415000000074
1982-08-25,198209,198209,69.1875,4716.0,69.1875,4716.0,-28.99951500000008
1982-08-26,198209,198209,68.6875,6619.0,68.6875,6619.0,-29.49951500000008
1982-08-27,198209,198209,67.7656,4973.0,67.7656,4973.0,-30.421415000000074
1982-08-30,198209,198209,68.0781,4280.0,68.0781,4280.0,-30.108915000000074
1982-08-31,198209,198209,67.9063,3671.0,67.9063,3671.0,-30.28071500000008
1982-09-01,198209,198209,68.1875,2094.0,68.1875,2094.0,-29.99951500000008
1982-09-02,198209,198209,68.6875,3358.0,68.6875,3358.0,-29.49951500000008
1982-09-03,198212,198212,68.5469,3096.0,68.5469,3096.0,-28.921415000000074
1982-09-07,198212,198212,68.375,4092.0,68.375,4092.0,-29.093315000000068
1982-09-08,198212,198212,68.5,4963.0,68.5,4963.0,-28.968315000000068
1982-09-09,198212,198212,68.3438,4012.0,68.3438,4012.0,-29.124515000000066
1982-09-10,198212,198212,67.4063,5024.0,67.4063,5024.0,-30.062015000000066
1982-09-13,198212,198212,68.0938,4435.0,68.0938,4435.0,-29.374515000000066
1982-09-14,198212,198212,68.1563,4852.0,68.1563,4852.0,-29.312015000000066
1982-09-15,198212,198212,68.0469,5108.0,68.0469,5108.0,-29.421415000000074
1982-09-16,198212,198212,67.9063,2965.0,67.9063,2965.0,-29.562015000000066
1982-09-17,198212,198212,68.3438,2662.0,68.3438,2662.0,-29.124515000000066
1982-09-20,198212,198212,68.5156,4690.0,68.5156,4690.0,-28.95271500000006
1982-09-21,198212,198212,69.6875,6216.0,69.6875,6216.0,-27.78081500000006
1982-09-22,198212,198212,69.6875,5495.0,69.6875,5495.0,-27.78081500000006
1982-09-23,198212,198212,70.0313,3871.0,70.0313,3871.0,-27.437015000000073
1982-09-24,198212,198212,69.5625,2897.0,69.5625,2897.0,-27.90581500000006
1982-09-27,198212,198212,69.6094,1447.0,69.6094,1447.0,-27.858915000000067
1982-09-28,198212,198212,70.1094,3503.0,70.1094,3503.0,-27.358915000000067
1982-09-29,198212,198212,70.0625,5233.0,70.0625,5233.0,-27.40581500000006
1982-09-30,198212,198212,70.3594,5337.0,70.3594,5337.0,-27.108915000000067
1982-10-01,198212,198212,71.2031,2929.0,71.2031,2929.0,-26.265215000000055
1982-10-04,198212,198212,70.0313,3262.0,70.0313,3262.0,-27.437015000000073
1982-10-05,198212,198212,70.25,3013.0,70.25,3013.0,-27.21831500000006
1982-10-06,198212,198212,71.0313,5823.0,71.0313,5823.0,-26.437015000000073
1982-10-07,198212,198212,72.8125,8318.0,72.8125,8318.0,-24.65581500000006
1982-10-08,198212,198212,73.2031,8811.0,73.2031,8811.0,-24.265215000000055
1982-10-11,198212,198212,75.0,1038.0,75.0,1038.0,-22.46831500000006
1982-10-12,198212,198212,74.9063,6248.0,74.9063,6248.0,-22.562015000000073
1982-10-13,198212,198212,75.25,5332.0,75.25,5332.0,-22.21831500000006
1982-10-14,198212,198212,74.375,4846.0,74.375,4846.0,-23.09331500000006
1982-10-15,198212,198212,73.7656,2956.0,73.7656,2956.0,-23.702715000000055
1982-10-18,198212,198212,74.5,3200.0,74.5,3200.0,-22.96831500000006
1982-10-19,198212,198212,74.8281,3711.0,74.8281,3711.0,-22.640215000000055
1982-10-20,198212,198212,74.4375,4636.0,74.4375,4636.0,-23.03081500000006
1982-10-21,198212,198212,74.5156,3234.0,74.5156,3234.0,-22.952715000000055
