Date,CurrentContract,CarryContract
1979-10-30,198004,198004
1979-10-31,198004,198004
1979-11-01,198004,198004
1979-11-02,198006,198006
1979-11-05,198006,198006
1979-11-06,198104,198104
1979-11-07,198104,198104
1979-11-08,198104,198104
1979-11-09,198104,198104
1979-11-12,198104,198104
1979-11-13,198104,198104
1979-11-14,198104,198104
1979-11-15,198104,198104
1979-11-16,198104,198104
1979-11-19,198104,198104
1979-11-20,198104,198104
1979-11-21,198104,198104
1979-11-23,198104,198104
1979-11-26,198104,198104
1979-11-27,198104,198104
1979-11-28,198104,198104
1979-11-29,198104,198104
1979-11-30,198104,198104
1979-12-03,198104,198104
1979-12-04,198104,198104
1979-12-05,198104,198104
1979-12-06,198104,198104
1979-12-07,198104,198104
1979-12-10,198104,198104
1979-12-11,198104,198104
1979-12-12,198104,198104
1979-12-13,198104,198104
1979-12-14,198104,198104
1979-12-17,198104,198104
1979-12-18,198104,198104
1979-12-19,198104,198104
1979-12-20,198104,198104
1979-12-21,198104,198104
1979-12-26,198104,198104
1979-12-27,198104,198104
1979-12-28,198104,198104
1979-12-31,198104,198104
1980-01-02,198104,198104
1980-01-03,198104,198104
1980-01-04,198104,198104
1980-01-07,198104,198104
1980-01-08,198104,198104
1980-01-09,198104,198104
1980-01-10,198104,198104
1980-01-11,198104,198104
1980-01-14,198104,198104
1980-01-15,198104,198104
1980-01-16,198104,198104
1980-01-17,198104,198104
1980-01-18,198104,198104
1980-01-21,198104,198104
1980-01-22,198104,198104
1980-01-23,198104,198104
1980-01-24,198104,198104
1980-01-25,198104,198104
1980-01-28,198104,198104
1980-01-29,198104,198104
1980-01-30,198104,198104
1980-01-31,198104,198104
1980-02-01,198104,198104
1980-02-04,198104,198104
1980-02-05,198104,198104
1980-02-06,198104,198104
1980-02-07,198104,198104
1980-02-08,198104,198104
1980-02-11,198104,198104
1980-02-12,198104,198104
1980-02-13,198104,198104
1980-02-14,198104,198104
1980-02-15,198104,198104
1980-02-19,198104,198104
1980-02-20,198104,198104
1980-02-21,198104,198104
1980-02-22,198104,198104
1980-02-25,198104,198104
1980-02-26,198104,198104
1980-02-27,198104,198104
1980-02-28,198104,198104
1980-02-29,198104,198104
1980-03-03,198104,198104
1980-03-04,198104,198104
1980-03-05,198104,198104
1980-03-06,198104,198104
1980-03-07,198104,198104
1980-03-10,198104,198104
1980-03-11,198104,198104
1980-03-12,198104,198104
1980-03-13,198104,198104
1980-03-14,198104,198104
1980-03-17,198104,198104
1980-03-18,198104,198104
1980-03-19,198104,198104
1980-03-20,198104,198104
1980-03-21,198104,198104
1980-03-24,198104,198104
1980-03-25,198104,198104
1980-03-26,198104,198104
1980-03-27,198104,198104
1980-03-28,198104,198104
1980-03-31,198104,198104
1980-04-01,198104,198104
1980-04-02,198104,198104
1980-04-03,198104,198104
1980-04-07,198104,198104
1980-04-08,198104,198104
1980-04-09,198104,198104
1980-04-10,198104,198104
1980-04-11,198104,198104
1980-04-14,198104,198104
1980-04-15,198104,198104
1980-04-16,198104,198104
1980-04-17,198104,198104
1980-04-18,198104,198104
1980-04-21,198104,198104
1980-04-22,198104,198104
1980-04-23,198104,198104
1980-04-24,198104,198104
1980-04-25,198104,198104
1980-04-28,198104,198104
1980-04-29,198104,198104
1980-04-30,198104,198104
1980-05-01,198104,198104
1980-05-02,198104,198104
1980-05-05,198104,198104
1980-05-06,198104,198104
1980-05-07,198104,198104
1980-05-08,198104,198104
1980-05-09,198104,198104
1980-05-12,198104,198104
1980-05-13,198104,198104
1980-05-14,198104,198104
1980-05-15,198104,198104
1980-05-16,198104,198104
1980-05-19,198104,198104
1980-05-20,198104,198104
1980-05-21,198104,198104
1980-05-22,198104,198104
1980-05-23,198104,198104
1980-05-27,198104,198104
1980-05-28,198104,198104
1980-05-29,198104,198104
1980-05-30,198104,198104
1980-06-02,198104,198104
1980-06-03,198104,198104
1980-06-04,198104,198104
1980-06-05,198104,198104
1980-06-06,198104,198104
1980-06-09,198104,198104
1980-06-10,198104,198104
1980-06-11,198104,198104
1980-06-12,198104,198104
1980-06-13,198104,198104
1980-06-16,198104,198104
1980-06-17,198104,198104
1980-06-18,198104,198104
