Date,CarryContract,CurrentContract
1978-01-04,197903,197905
1978-01-05,197903,197905
1978-01-06,197903,197905
1978-01-09,197903,197905
1978-01-10,197903,197905
1978-01-11,197903,197905
1978-01-12,197903,197905
1978-01-13,197903,197905
1978-01-16,197903,197905
1978-01-17,197903,197905
1978-01-18,197903,197905
1978-01-19,197903,197905
1978-01-20,197903,197905
1978-01-23,197903,197905
1978-01-24,197903,197905
1978-01-25,197903,197905
1978-01-26,197903,197905
1978-01-27,197903,197905
1978-01-30,197903,197905
1978-01-31,197903,197905
1978-02-01,197903,197905
1978-02-02,197903,197905
1978-02-03,197903,197905
1978-02-06,197903,197905
1978-02-07,197903,197905
1978-02-08,197903,197905
1978-02-09,197903,197905
1978-02-10,197903,197905
1978-02-13,197903,197905
1978-02-14,197903,197905
1978-02-15,197903,197905
1978-02-16,197903,197905
1978-02-17,197903,197905
1978-02-21,197903,197905
1978-02-22,197903,197905
1978-02-23,197903,197905
1978-02-24,197903,197905
1978-02-27,197903,197905
1978-02-28,197903,197905
1978-03-01,197903,197905
1978-03-02,197903,197905
1978-03-03,197903,197905
1978-03-06,197903,197905
1978-03-07,197903,197905
1978-03-08,197903,197905
1978-03-09,197903,197905
1978-03-10,197903,197905
1978-03-13,197903,197905
1978-03-14,197903,197905
1978-03-15,197903,197905
1978-03-16,197903,197905
1978-03-17,197903,197905
1978-03-20,197903,197905
1978-03-21,197903,197905
1978-03-22,197903,197905
1978-03-23,197903,197905
1978-03-27,197903,197905
1978-03-28,197903,197905
1978-03-29,197903,197905
1978-03-30,197903,197905
1978-03-31,197903,197905
1978-04-03,197903,197905
1978-04-04,197903,197905
1978-04-05,197903,197905
1978-04-06,197903,197905
1978-04-07,197903,197905
1978-04-10,197903,197905
1978-04-11,197903,197905
1978-04-12,197903,197905
1978-04-13,197903,197905
1978-04-14,197903,197905
1978-04-17,197903,197905
1978-04-18,197903,197905
1978-04-19,197903,197905
1978-04-20,197903,197905
1978-04-21,197903,197905
1978-04-24,197903,197905
1978-04-25,197903,197905
1978-04-26,197903,197905
1978-04-27,197903,197905
1978-04-28,197903,197905
1978-05-01,197903,197905
1978-05-02,197903,197905
1978-05-03,197903,197905
1978-05-04,197903,197905
1978-05-05,197903,197905
1978-05-08,197903,197905
1978-05-09,197903,197905
1978-05-10,197903,197905
1978-05-11,197903,197905
1978-05-12,197903,197905
1978-05-15,197903,197905
1978-05-16,197903,197905
1978-05-17,197903,197905
1978-05-18,197903,197905
1978-05-19,197903,197905
1978-05-22,197903,197905
1978-05-23,197903,197905
1978-05-24,197903,197905
1978-05-25,197903,197905
1978-05-26,197903,197905
1978-05-30,197903,197905
1978-05-31,197903,197905
1978-06-01,197903,197905
1978-06-02,197903,197905
1978-06-05,197903,197905
1978-06-06,197903,197905
1978-06-07,197903,197905
1978-06-08,197903,197905
1978-06-09,197903,197905
1978-06-12,197903,197905
1978-06-13,197903,197905
1978-06-14,197903,197905
1978-06-15,197903,197905
1978-06-16,197903,197905
1978-06-19,197903,197905
1978-06-20,197903,197905
1978-06-21,197903,197905
1978-06-22,197903,197905
1978-06-23,197903,197905
1978-06-26,197903,197905
1978-06-27,197903,197905
1978-06-28,197903,197905
1978-06-29,197903,197905
1978-06-30,197903,197905
1978-07-03,197903,197905
1978-07-05,197903,197905
1978-07-06,197903,197905
1978-07-07,197903,197905
1978-07-10,197903,197905
1978-07-11,197903,197905
1978-07-12,197903,197905
1978-07-13,197903,197905
1978-07-14,197903,197905
1978-07-17,197903,197905
1978-07-18,197903,197905
1978-07-19,197903,197905
1978-07-20,197903,197905
1978-07-21,197903,197905
1978-07-24,197903,197905
1978-07-25,197903,197905
1978-07-26,197903,197905
1978-07-27,197903,197905
1978-07-28,197903,197905
1978-07-31,197903,197905
1978-08-01,197903,197905
1978-08-02,197903,197905
1978-08-03,197903,197905
1978-08-04,197903,197905
1978-08-07,197903,197907
1978-08-08,197903,197907
1978-08-09,197903,197907
1978-08-10,197903,197907
1978-08-11,197903,197907
1978-08-14,197903,197907
1978-08-15,197903,197907
1978-08-16,197903,197907
1978-08-17,197903,197907
1978-08-18,197903,197907
1978-08-21,197903,197907
1978-08-22,197903,197907
1978-08-23,197903,197907
1978-08-24,197903,197907
1978-08-25,197903,197907
1978-08-28,197903,197907
1978-08-29,197903,197907
1978-08-30,197903,197907
1978-08-31,197903,197907
1978-09-01,197903,197907
1978-09-05,197903,197907
1978-09-06,197903,197907
1978-09-07,197903,197907
1978-09-08,197903,197907
1978-09-11,197903,197907
1978-09-12,197903,197907
1978-09-13,197903,197907
1978-09-14,197903,197907
1978-09-15,197903,197907
1978-09-18,197903,197907
1978-09-19,197903,197907
1978-09-20,197903,197907
1978-09-21,197903,197907
1978-09-22,197903,197907
1978-09-25,197903,197907
1978-09-26,197903,197907
1978-09-27,197903,197907
1978-09-28,197903,197907
1978-09-29,197903,197907
1978-10-02,197903,197907
1978-10-03,197903,197907
1978-10-04,197903,197907
1978-10-05,197903,197907
1978-10-06,197903,197907
1978-10-09,197903,197907
1978-10-10,197903,197907
1978-10-11,197903,197907
1978-10-12,197903,197907
1978-10-13,197903,197907
1978-10-16,197903,197907
1978-10-17,197903,197907
1978-10-18,197903,197907
1978-10-19,197903,197907
1978-10-20,197903,197907
1978-10-23,197903,197907
1978-10-24,197903,197907
1978-10-25,197903,197907
1978-10-26,197903,197907
1978-10-27,197903,197907
1978-10-30,197903,197907
1978-10-31,197903,197907
1978-11-01,197903,197907
1978-11-02,197903,197907
1978-11-03,197903,197907
1978-11-06,197903,197907
1978-11-08,197903,197907
1978-11-09,197903,197907
1978-11-10,197903,197907
1978-11-13,197903,197907
1978-11-14,197903,197907
1978-11-15,197903,197907
1978-11-16,197903,197907
1978-11-17,197903,197907
1978-11-20,197903,197907
1978-11-21,197903,197907
1978-11-22,197903,197907
1978-11-24,197903,197907
1978-11-27,197903,197907
1978-11-28,197903,197907
1978-11-29,197903,197907
1978-11-30,197903,197907
1978-12-01,197903,197907
1978-12-04,197903,197907
1978-12-05,197903,197907
1978-12-06,197903,197907
1978-12-07,197903,197907
1978-12-08,197903,197907
1978-12-11,197903,197907
1978-12-12,197903,197907
1978-12-13,197903,197907
1978-12-14,197903,197907
1978-12-15,197903,197907
1978-12-18,197903,197907
1978-12-19,197903,197907
1978-12-20,197903,197907
1978-12-21,197903,197907
1978-12-22,197903,197907
1978-12-26,197903,197907
1978-12-27,197903,197907
1978-12-28,197903,197907
1978-12-29,197903,197907
1979-01-02,197903,197907
1979-01-03,197903,197907
1979-01-04,197903,197907
1979-01-05,197903,197907
1979-01-08,197903,197907
1979-01-09,197903,197907
1979-01-10,197903,197907
1979-01-11,197903,197907
1979-01-12,197903,197907
1979-01-15,197903,197907
1979-01-16,197903,197907
1979-01-17,197903,197907
1979-01-18,197903,197907
1979-01-19,197903,197907
1979-01-22,197903,197907
1979-01-23,197903,197907
1979-01-24,197903,197907
1979-01-25,197903,197907
1979-01-26,197903,197907
1979-01-29,197903,197907
1979-01-30,197903,197912
1979-01-31,197903,197912
1979-02-01,197903,197912
1979-02-02,197903,197912
1979-02-05,197903,197912
1979-02-06,197903,197912
1979-02-07,197903,197912
1979-02-08,197903,197912
1979-02-09,197903,197912
1979-02-12,197903,197912
1979-02-13,197903,197912
1979-02-14,197903,197912
1979-02-15,197903,197912
1979-02-16,197903,197912
1979-02-20,197903,197912
1979-02-21,197903,197912
1979-02-22,197903,197912
1979-02-23,197903,197912
1979-02-26,197903,197912
1979-02-27,197903,197912
1979-02-28,197903,197912
1979-03-01,197903,197912
1979-03-02,197903,197912
1979-03-05,197903,197912
1979-03-06,197903,197912
1979-03-07,197903,197912
1979-03-08,197903,197912
1979-03-09,197903,197912
1979-03-12,197903,197912
1979-03-13,197903,197912
1979-03-14,197903,197912
1979-03-15,197903,197912
1979-03-16,197903,197912
1979-03-19,197903,197912
1979-03-20,197903,197912
1979-03-21,197903,197912
1979-03-22,197903,197912
1979-03-23,197903,197912
1979-03-26,197903,197912
1979-03-27,197903,197912
1979-03-28,197903,197912
1979-03-29,197903,197912
1979-03-30,197903,197912
1979-04-02,197905,197912
1979-04-03,197905,197912
1979-04-04,197905,197912
1979-04-05,197905,197912
1979-04-06,197905,197912
1979-04-09,197905,197912
1979-04-10,197905,197912
1979-04-11,197905,197912
1979-04-12,197905,197912
1979-04-16,197905,197912
1979-04-17,197905,197912
1979-04-18,197905,197912
1979-04-19,197905,197912
1979-04-20,197905,197912
1979-04-23,197905,197912
1979-04-24,197905,197912
1979-04-25,197905,197912
1979-04-26,197905,197912
1979-04-27,197905,197912
1979-04-30,197905,197912
1979-05-01,197905,197912
1979-05-02,197907,197912
1979-05-03,197907,197912
1979-05-04,197907,197912
1979-05-07,197907,197912
1979-05-08,197907,197912
1979-05-09,197907,197912
1979-05-10,197907,197912
1979-05-11,197907,197912
1979-05-14,197907,197912
1979-05-15,197907,197912
1979-05-16,197907,197912
1979-05-17,197907,197912
1979-05-18,197907,197912
1979-05-21,197907,197912
1979-05-22,197907,197912
1979-05-23,197907,197912
1979-05-24,197907,197912
1979-05-25,197907,197912
1979-05-29,197907,197912
1979-05-30,197907,197912
1979-05-31,197907,197912
1979-06-01,197907,197912
1979-06-04,197907,197912
1979-06-05,197907,197912
1979-06-06,197907,197912
1979-06-07,197907,197912
1979-06-08,197907,197912
1979-06-11,197907,197912
1979-06-12,197907,197912
1979-06-13,197907,197912
1979-06-14,197907,197912
1979-06-15,197907,197912
1979-06-18,197907,197912
1979-06-19,197907,197912
1979-06-20,197907,197912
1979-06-21,197907,197912
1979-06-22,197907,197912
1979-06-25,197909,197912
1979-06-26,197909,197912
1979-06-27,197909,197912
1979-06-28,197909,197912
1979-06-29,197909,197912
1979-07-02,197909,197912
1979-07-03,197909,197912
1979-07-05,197909,197912
1979-07-06,197909,197912
1979-07-09,197909,197912
1979-07-10,197909,197912
1979-07-11,197912,198003
1979-07-12,197912,198003
1979-07-13,197912,198003
1979-07-16,197912,198003
1979-07-17,197912,198003
1979-07-18,197912,198003
1979-07-19,197912,198003
1979-07-20,197912,198003
1979-07-23,197912,198003
1979-07-24,197912,198003
1979-07-25,197912,198003
1979-07-26,197912,198003
1979-07-27,197912,198003
1979-07-30,197912,198003
1979-07-31,197912,198003
1979-08-01,197912,198003
1979-08-02,197912,198003
1979-08-03,197912,198003
1979-08-06,197912,198003
1979-08-07,197912,198003
1979-08-08,197912,198003
1979-08-09,197912,198003
1979-08-10,197912,198003
1979-08-13,197912,198003
1979-08-14,197912,198003
1979-08-15,197912,198003
1979-08-16,197912,198003
1979-08-17,197912,198003
1979-08-20,197912,198003
1979-08-21,197912,198003
1979-08-22,197912,198003
1979-08-23,197912,198003
1979-08-24,197912,198003
1979-08-27,197912,198003
1979-08-28,197912,198003
1979-08-29,197912,198003
1979-08-30,197912,198003
1979-08-31,197912,198003
1979-09-04,197912,198003
1979-09-05,197912,198003
1979-09-06,197912,198003
1979-09-07,197912,198003
1979-09-10,197912,198003
1979-09-11,197912,198003
1979-09-12,197912,198003
1979-09-13,197912,198003
1979-09-14,197912,198003
1979-09-17,197912,198003
1979-09-18,197912,198003
1979-09-19,197912,198003
1979-09-20,197912,198003
1979-09-21,197912,198003
1979-09-24,197912,198003
1979-09-25,197912,198003
1979-09-26,197912,198003
1979-09-27,197912,198003
1979-09-28,197912,198003
1979-10-01,197912,198003
1979-10-02,197912,198003
1979-10-03,197912,198003
1979-10-04,197912,198003
1979-10-05,197912,198003
1979-10-08,197912,198003
1979-10-09,197912,198003
1979-10-10,197912,198003
1979-10-11,197912,198003
1979-10-12,197912,198003
1979-10-15,197912,198003
1979-10-16,197912,198003
1979-10-17,197912,198003
1979-10-18,197912,198003
1979-10-19,197912,198003
1979-10-22,197912,198003
1979-10-23,197912,198003
1979-10-24,197912,198003
1979-10-25,197912,198003
1979-10-26,197912,198003
1979-10-29,197912,198003
1979-10-30,197912,198003
1979-10-31,197912,198003
1979-11-01,197912,198003
1979-11-02,197912,198003
1979-11-05,197912,198003
1979-11-06,197912,198003
1979-11-07,197912,198003
1979-11-08,197912,198003
1979-11-09,197912,198003
1979-11-12,197912,198003
1979-11-13,197912,198003
1979-11-14,197912,198003
1979-11-15,197912,198003
1979-11-16,197912,198003
1979-11-19,197912,198003
1979-11-20,197912,198003
1979-11-21,197912,198003
1979-11-23,197912,198003
1979-11-26,197912,198003
1979-11-27,197912,198003
1979-11-28,197912,198003
1979-11-29,197912,198003
1979-11-30,197912,198003
1979-12-03,197912,198003
1979-12-04,198003,198005
1979-12-05,198003,198005
1979-12-06,198003,198005
1979-12-07,198003,198005
1979-12-10,198003,198005
1979-12-11,198003,198005
1979-12-12,198003,198005
1979-12-13,198003,198005
1979-12-14,198003,198005
1979-12-17,198003,198005
1979-12-18,198003,198005
1979-12-19,198003,198005
1979-12-20,198003,198005
1979-12-21,198003,198005
1979-12-26,198003,198005
1979-12-27,198003,198005
1979-12-28,198003,198005
1979-12-31,198003,198005
1980-01-02,198003,198005
1980-01-03,198003,198005
1980-01-04,198003,198005
1980-01-09,198003,198005
1980-01-10,198003,198005
1980-01-11,198003,198005
1980-01-14,198003,198005
1980-01-15,198003,198005
1980-01-16,198003,198005
