symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
IF1401,20140102,2340.0,2344.8,2325.0,2331.8,521979,95809.0,36549211.224,2334.4,2348.4,IF
IF1402,20140102,2350.0,2352.4,2333.8,2338.2,5423,2686.0,380955.204,2340.8,2356.4,IF
IF1403,20140102,2360.0,2362.8,2343.8,2349.0,12989,18969.0,916705.11,2352.2,2365.6,IF
IF1406,20140102,2368.8,2370.4,2351.0,2355.6,2137,8624.0,151262.796,2357.6,2372.0,IF
TF1403,20140102,91.796,91.796,91.338,91.35,2350,3621.0,215106.338,91.436,91.804,TF
TF1406,20140102,92.256,92.256,91.906,91.906,104,319.0,9574.922,91.97,92.314,TF
TF1409,20140102,92.424,92.492,92.222,92.222,12,30.0,1108.348,92.236,92.5,TF
IF1401,20140103,2316.0,2327.8,2286.0,2302.4,598927,96696.0,41352652.656,2297.2,2334.4,IF
IF1402,20140103,2333.0,2333.4,2293.8,2308.6,7221,3945.0,499922.778,2302.8,2340.8,IF
IF1403,20140103,2340.2,2345.0,2303.6,2318.6,16509,19446.0,1148678.358,2313.8,2352.2,IF
IF1406,20140103,2348.8,2350.4,2310.0,2322.0,2466,8670.0,172063.254,2319.4,2357.6,IF
TF1403,20140103,91.3,91.384,91.13,91.306,3186,3704.0,290803.856,91.328,91.436,TF
TF1406,20140103,91.856,91.94,91.724,91.866,88,331.0,8082.846,91.868,91.97,TF
TF1409,20140103,92.206,92.206,92.206,92.206,2,31.0,184.412,92.206,92.236,TF
IF1401,20140106,2294.0,2297.0,2230.8,2240.8,640223,91376.0,43190041.128,2240.2,2297.2,IF
IF1402,20140106,2301.0,2302.2,2238.0,2243.8,10808,4991.0,731983.656,2244.4,2302.8,IF
IF1403,20140106,2312.0,2313.2,2248.4,2254.0,21229,20645.0,1445014.074,2255.2,2313.8,IF
IF1406,20140106,2313.0,2318.4,2251.2,2256.0,4011,8757.0,273368.778,2258.2,2319.4,IF
TF1403,20140106,91.3,91.4,91.152,91.22,2263,3653.0,206636.976,91.258,91.328,TF
TF1406,20140106,91.856,91.946,91.756,91.804,80,328.0,7350.474,91.836,91.868,TF
TF1409,20140106,92.2,92.292,92.186,92.194,9,37.0,830.02,92.194,92.206,TF
IF1401,20140107,2234.0,2253.0,2216.4,2238.4,626018,85620.0,42039960.426,2238.4,2240.2,IF
IF1402,20140107,2236.2,2254.8,2221.2,2240.2,10598,6076.0,712646.808,2240.8,2244.4,IF
IF1403,20140107,2250.2,2265.6,2231.4,2250.6,20711,20793.0,1399032.426,2250.6,2255.2,IF
IF1406,20140107,2253.8,2267.4,2233.8,2253.4,2633,8819.0,177969.306,2253.2,2258.2,IF
TF1403,20140107,91.2,91.502,91.2,91.44,2733,3719.0,249801.272,91.398,91.258,TF
TF1406,20140107,91.846,92.046,91.846,91.994,94,342.0,8646.58,91.97,91.836,TF
TF1409,20140107,92.216,92.316,92.216,92.3,4,36.0,369.144,92.3,92.194,TF
IF1401,20140108,2243.6,2269.2,2229.0,2241.2,724309,85765.0,48845943.324,2243.2,2238.4,IF
IF1402,20140108,2244.4,2271.6,2231.4,2242.0,11503,7357.0,776546.976,2244.2,2240.8,IF
IF1403,20140108,2255.6,2278.8,2240.0,2248.2,23245,20755.0,1575560.592,2252.2,2250.6,IF
IF1406,20140108,2259.8,2283.4,2245.2,2254.4,3593,9209.0,244054.848,2256.8,2253.2,IF
TF1403,20140108,91.486,91.742,91.402,91.696,2670,3613.0,244577.742,91.65,91.398,TF
TF1406,20140108,92.046,92.246,91.99,92.202,111,333.0,10227.572,92.214,91.97,TF
TF1409,20140108,92.3,92.496,92.3,92.496,9,39.0,831.948,92.496,92.3,TF
IF1401,20140109,2240.0,2265.0,2220.4,2223.6,715698,87542.0,48205521.816,2229.2,2243.2,IF
IF1402,20140109,2239.6,2267.8,2224.0,2227.2,14241,8371.0,960781.764,2232.2,2244.2,IF
IF1403,20140109,2247.2,2272.6,2229.6,2232.0,25508,22226.0,1725237.696,2237.8,2252.2,IF
IF1406,20140109,2251.8,2277.6,2236.6,2239.6,3766,9548.0,255136.284,2245.2,2256.8,IF
TF1403,20140109,91.746,91.836,91.414,91.502,2759,3645.0,252903.222,91.516,91.65,TF
TF1406,20140109,92.23,92.328,92.056,92.082,198,378.0,18257.98,92.098,92.214,TF
TF1409,20140109,92.456,92.596,92.406,92.406,20,48.0,1850.07,92.406,92.496,TF
IF1401,20140110,2224.0,2231.4,2206.6,2218.0,686705,83558.0,45673186.17,2213.6,2229.2,IF
IF1402,20140110,2224.4,2234.2,2210.2,2222.2,15169,9526.0,1010616.198,2217.8,2232.2,IF
IF1403,20140110,2229.6,2240.4,2217.2,2229.6,23624,23072.0,1578489.264,2224.4,2237.8,IF
IF1406,20140110,2239.0,2244.8,2222.4,2234.2,3383,9623.0,226574.622,2230.4,2245.2,IF
TF1403,20140110,91.456,91.75,91.456,91.542,2725,3652.0,249635.02,91.55,91.516,TF
TF1406,20140110,92.146,92.276,92.06,92.06,200,401.0,18434.602,92.11,92.098,TF
TF1409,20140110,92.36,92.546,92.356,92.406,24,59.0,2219.234,92.432,92.406,TF
IF1401,20140113,2223.8,2228.8,2190.2,2204.4,623400,80680.0,41288783.628,2198.4,2213.6,IF
IF1402,20140113,2227.4,2232.6,2196.6,2210.2,25863,13331.0,1716400.464,2203.2,2217.8,IF
IF1403,20140113,2233.8,2239.2,2202.2,2216.2,25716,24909.0,1712521.182,2209.6,2224.4,IF
IF1406,20140113,2239.6,2245.0,2210.0,2221.8,3396,9748.0,226699.638,2215.6,2230.4,IF
TF1403,20140113,91.542,91.6,91.434,91.466,1421,3648.0,130037.48,91.502,91.55,TF
TF1406,20140113,92.056,92.146,92.044,92.058,43,406.0,3959.63,92.072,92.11,TF
TF1409,20140113,,,,92.406,0,59.0,0.0,92.384,92.432,TF
IF1401,20140114,2197.0,2224.8,2186.2,2217.6,666190,70037.0,44074696.728,2213.6,2198.4,IF
IF1402,20140114,2196.4,2228.2,2192.4,2224.0,47420,17567.0,3145143.756,2219.6,2203.2,IF
IF1403,20140114,2209.6,2234.8,2200.2,2231.6,26275,26287.0,1747528.998,2225.2,2209.6,IF
IF1406,20140114,2219.4,2241.0,2206.8,2237.6,3032,9891.0,202286.442,2233.2,2215.6,IF
TF1403,20140114,91.458,91.54,91.436,91.482,1388,3659.0,126987.142,91.474,91.502,TF
TF1406,20140114,92.056,92.11,92.028,92.074,70,408.0,6444.466,92.052,92.072,TF
TF1409,20140114,,,,92.406,0,59.0,0.0,92.356,92.384,TF
IF1401,20140115,2220.2,2221.8,2196.0,2211.6,515463,57917.0,34161358.092,2210.4,2213.6,IF
IF1402,20140115,2226.0,2227.0,2203.4,2218.2,75148,26736.0,4994048.946,2215.4,2219.6,IF
IF1403,20140115,2231.0,2234.6,2210.6,2224.0,22695,27169.0,1513248.468,2222.8,2225.2,IF
IF1406,20140115,2249.6,2249.6,2218.6,2230.4,2296,10094.0,153540.852,2229.8,2233.2,IF
TF1403,20140115,91.538,91.86,91.504,91.816,3614,3662.0,331482.032,91.794,91.474,TF
TF1406,20140115,92.096,92.396,92.096,92.382,151,400.0,13930.638,92.34,92.052,TF
TF1409,20140115,92.446,92.562,92.406,92.56,26,71.0,2404.64,92.56,92.356,TF
IF1401,20140116,2217.6,2232.6,2203.4,2211.2,497659,27787.0,33082751.1,2214.8,2210.4,IF
IF1402,20140116,2220.0,2241.8,2210.2,2219.4,255825,49649.0,17070201.414,2223.6,2215.4,IF
IF1403,20140116,2227.4,2246.6,2217.2,2229.0,36780,30084.0,2460994.944,2231.4,2222.8,IF
IF1406,20140116,2233.0,2253.0,2224.6,2235.0,3239,10372.0,217426.122,2238.6,2229.8,IF
TF1403,20140116,91.84,91.848,91.618,91.64,1758,3668.0,161293.576,91.682,91.794,TF
TF1406,20140116,92.358,92.384,92.206,92.238,57,411.0,5261.124,92.252,92.34,TF
TF1409,20140116,92.56,92.56,92.506,92.506,5,71.0,462.64,92.506,92.56,TF
IF1401,20140117,2213.6,2213.6,2181.6,2182.8,112982,0.0,7436968.986,2182.86,2214.8,IF
IF1402,20140117,2210.0,2218.6,2187.4,2199.2,633560,68203.0,41818189.554,2197.2,2223.6,IF
