symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
AP805,20180102,8088.0,8106.0,8086.0,8101.0,16426,12360,133013.09,8098.0,8095.0,AP
AP807,20180102,8030.0,8060.0,8016.0,8020.0,168,954,1351.17,8043.0,8028.0,AP
AP810,20180102,7163.0,7218.0,7163.0,7187.0,3940,4590,28330.7,7191.0,7165.0,AP
AP811,20180102,7168.0,7179.0,7151.0,7161.0,168,498,1203.6,7164.0,7138.0,AP
AP812,20180102,7204.0,7218.0,7179.0,7189.0,188,346,1353.23,7198.0,7177.0,AP
CF801,20180102,14650.0,14740.0,14650.0,14710.0,1048,26832,7711.23,14715.0,14705.0,CF
CF803,20180102,14795.0,14800.0,14795.0,14795.0,56,576,414.31,14795.0,14725.0,CF
CF805,20180102,14910.0,15045.0,14910.0,15040.0,69604,287494,522314.81,15010.0,14995.0,CF
CF807,20180102,0.0,0.0,0.0,0.0,0,116,0.0,15110.0,15010.0,CF
CF809,20180102,15240.0,15420.0,15240.0,15405.0,4292,38088,33016.72,15385.0,15340.0,CF
CF811,20180102,0.0,0.0,0.0,0.0,0,34,0.0,15500.0,15500.0,CF
CY801,20180102,22800.0,22800.0,22800.0,22800.0,4,18,45.6,22800.0,22805.0,CY
CY802,20180102,0.0,0.0,0.0,0.0,0,0,0.0,22410.0,22415.0,CY
CY803,20180102,22600.0,23500.0,22600.0,23500.0,10,0,115.45,23090.0,23210.0,CY
CY804,20180102,0.0,0.0,0.0,0.0,0,0,0.0,23125.0,23245.0,CY
CY805,20180102,22800.0,23215.0,22800.0,23070.0,18,164,208.33,23145.0,23100.0,CY
CY806,20180102,0.0,0.0,0.0,0.0,0,0,0.0,22695.0,22650.0,CY
CY807,20180102,0.0,0.0,0.0,0.0,0,0,0.0,23295.0,23250.0,CY
CY808,20180102,0.0,0.0,0.0,0.0,0,0,0.0,22810.0,22765.0,CY
CY809,20180102,0.0,0.0,0.0,0.0,0,60,0.0,23235.0,23235.0,CY
CY810,20180102,0.0,0.0,0.0,0.0,0,2,0.0,23730.0,23685.0,CY
CY811,20180102,0.0,0.0,0.0,0.0,0,0,0.0,22875.0,22830.0,CY
CY812,20180102,0.0,0.0,0.0,0.0,0,0,0.0,22875.0,22830.0,CY
FG801,20180102,1570.0,1570.0,1525.0,1530.0,1432,11906,4412.32,1541.0,1534.0,FG
FG802,20180102,1506.0,1508.0,1506.0,1508.0,6,6,18.09,1507.0,1492.0,FG
FG803,20180102,1462.0,1462.0,1462.0,1462.0,4,8,11.7,1462.0,1473.0,FG
