symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
a2205,20220505,6082.0,6082.0,6080.0,6080.0,10.0,4328.0,60.81,6081.0,6134.0,A
a2207,20220505,6210.0,6230.0,6117.0,6138.0,73135.0,102100.0,449047.18,6139.0,6180.0,A
a2209,20220505,6030.0,6080.0,5983.0,6003.0,13389.0,31088.0,80410.17,6005.0,6039.0,A
a2211,20220505,5867.0,5878.0,5780.0,5806.0,7057.0,16674.0,40947.73,5802.0,5843.0,A
a2301,20220505,5815.0,5824.0,5746.0,5770.0,297.0,2495.0,1713.5,5769.0,5796.0,A
a2303,20220505,5796.0,5796.0,5720.0,5739.0,34.0,408.0,195.32,5744.0,5774.0,A
b2205,20220505,5810.0,5867.0,5550.0,5550.0,162.0,16.0,919.91,5678.0,5286.0,B
b2206,20220505,5355.0,5355.0,5262.0,5312.0,22351.0,20823.0,118486.2,5301.0,5345.0,B
b2207,20220505,5283.0,5332.0,5262.0,5309.0,3898.0,5492.0,20625.4,5291.0,5336.0,B
b2208,20220505,5254.0,5270.0,5209.0,5265.0,984.0,2403.0,5161.01,5244.0,5293.0,B
b2209,20220505,5218.0,5257.0,5184.0,5225.0,1832.0,3013.0,9544.21,5209.0,5249.0,B
b2210,20220505,5188.0,5214.0,5140.0,5214.0,547.0,283.0,2826.35,5166.0,5193.0,B
b2211,20220505,0.0,0.0,0.0,5143.0,0.0,2.0,0.0,5143.0,5181.0,B
b2212,20220505,0.0,0.0,0.0,5032.0,0.0,11.0,0.0,5032.0,5032.0,B
b2301,20220505,0.0,0.0,0.0,5014.0,0.0,52.0,0.0,5014.0,5014.0,B
b2302,20220505,0.0,0.0,0.0,4990.0,0.0,11.0,0.0,4990.0,4990.0,B
b2303,20220505,4886.0,4925.0,4885.0,4925.0,3.0,100.0,14.7,4898.0,4981.0,B
b2304,20220505,4881.0,4881.0,4881.0,4881.0,1.0,7.0,4.88,4881.0,4977.0,B
bb2205,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2206,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2207,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2208,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2209,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2210,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2211,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2212,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2301,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2302,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2303,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
bb2304,20220505,0.0,0.0,0.0,410.6,0.0,0.0,0.0,410.6,410.6,BB
c2205,20220505,2933.0,2933.0,2915.0,2916.0,4204.0,43152.0,12287.06,2922.0,2912.0,C
c2207,20220505,2985.0,2985.0,2962.0,2969.0,69074.0,363807.0,205238.12,2971.0,2971.0,C
c2209,20220505,3035.0,3035.0,3016.0,3022.0,298332.0,1314546.0,902253.58,3024.0,3027.0,C
c2211,20220505,2999.0,3014.0,2986.0,2990.0,6657.0,64192.0,19918.21,2992.0,2995.0,C
c2301,20220505,3015.0,3021.0,2997.0,2999.0,19916.0,92398.0,59819.24,3003.0,3011.0,C
c2303,20220505,3017.0,3028.0,3009.0,3011.0,4833.0,25008.0,14570.26,3014.0,3024.0,C
cs2205,20220505,3395.0,3414.0,3383.0,3384.0,1632.0,21415.0,5542.36,3396.0,3397.0,CS
cs2207,20220505,3476.0,3485.0,3442.0,3466.0,87872.0,202512.0,304771.97,3468.0,3481.0,CS
cs2209,20220505,3570.0,3570.0,3545.0,3554.0,31211.0,111197.0,111109.07,3559.0,3568.0,CS
cs2211,20220505,3502.0,3508.0,3486.0,3497.0,2814.0,11285.0,9845.86,3498.0,3499.0,CS
cs2301,20220505,3525.0,3526.0,3503.0,3512.0,284.0,1332.0,997.32,3511.0,3521.0,CS
cs2303,20220505,3481.0,3515.0,3481.0,3504.0,2264.0,1073.0,7928.04,3501.0,3508.0,CS
eb2205,20220505,9983.0,10689.0,9914.0,9940.0,95.0,3338.0,482.46,10156.0,9809.0,EB
eb2206,20220505,9951.0,10020.0,9872.0,9987.0,120074.0,143833.0,597812.27,9957.0,9788.0,EB
eb2207,20220505,9950.0,9978.0,9836.0,9947.0,20805.0,37648.0,103130.94,9914.0,9758.0,EB
eb2208,20220505,9895.0,9896.0,9776.0,9872.0,3078.0,11459.0,15158.14,9849.0,9695.0,EB
eb2209,20220505,9812.0,9886.0,9711.0,9788.0,2317.0,6374.0,11328.41,9778.0,9626.0,EB
eb2210,20220505,9719.0,9845.0,9681.0,9701.0,420.0,383.0,2046.78,9746.0,9280.0,EB
eb2211,20220505,0.0,0.0,0.0,10016.0,0.0,2.0,0.0,10016.0,9538.0,EB
eb2212,20220505,0.0,0.0,0.0,9644.0,0.0,3.0,0.0,9644.0,9644.0,EB
eb2301,20220505,0.0,0.0,0.0,9089.0,0.0,4.0,0.0,9089.0,9089.0,EB
eb2302,20220505,0.0,0.0,0.0,9590.0,0.0,1.0,0.0,9590.0,9590.0,EB
eb2303,20220505,0.0,0.0,0.0,9478.0,0.0,1.0,0.0,9478.0,9025.0,EB
eb2304,20220505,0.0,0.0,0.0,8837.0,0.0,0.0,0.0,8837.0,8837.0,EB
eg2205,20220505,4800.0,4948.0,4800.0,4928.0,921.0,1809.0,4505.81,4892.0,4780.0,EG
eg2206,20220505,4914.0,5006.0,4913.0,4975.0,18089.0,38852.0,89691.67,4958.0,4843.0,EG
eg2207,20220505,4994.0,5041.0,4955.0,5020.0,22017.0,66654.0,110352.26,5012.0,4882.0,EG
eg2208,20220505,5003.0,5072.0,4988.0,5052.0,14155.0,43596.0,71406.6,5044.0,4922.0,EG
eg2209,20220505,5004.0,5104.0,5004.0,5083.0,258034.0,250313.0,1308843.62,5072.0,4943.0,EG
eg2210,20220505,5050.0,5118.0,5034.0,5102.0,3759.0,22326.0,19136.45,5090.0,4970.0,EG
eg2211,20220505,5112.0,5132.0,5082.0,5118.0,2376.0,1897.0,12118.87,5100.0,4986.0,EG
eg2212,20220505,0.0,0.0,0.0,5090.0,0.0,8.0,0.0,5090.0,4999.0,EG
eg2301,20220505,5100.0,5165.0,5099.0,5147.0,94.0,521.0,482.35,5131.0,5022.0,EG
