symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
SI2308,20230116,17450.0,17670.0,17450.0,17515.0,23451,59021,205596.1,17530.0,17555.0,SI
SI2309,20230116,17430.0,17510.0,17350.0,17405.0,4485,14995,39103.065,17435.0,17430.0,SI
SI2310,20230116,17245.0,17350.0,17245.0,17350.0,1189,1620,10252.73,17245.0,17245.0,SI
SI2311,20230116,17170.0,17190.0,17170.0,17190.0,2,597,17.18,17180.0,17220.0,SI
SI2312,20230116,0.0,0.0,0.0,17395.0,0,416,0.0,17395.0,17395.0,SI
SI2308,20230217,17630.0,17750.0,17360.0,17375.0,27627,47877,243304.625,17610.0,17805.0,SI
SI2309,20230217,17570.0,17650.0,17285.0,17285.0,6261,13878,54940.455,17550.0,17710.0,SI
SI2310,20230217,17560.0,17560.0,17210.0,17210.0,247,1702,2167.845,17550.0,17560.0,SI
SI2311,20230217,17455.0,17455.0,17130.0,17130.0,28,611,241.835,17270.0,17465.0,SI
SI2312,20230217,17535.0,17565.0,17250.0,17250.0,19,383,165.7375,17445.0,17635.0,SI
SI2401,20230217,17425.0,17425.0,17300.0,17310.0,5,5,43.3925,17355.0,17465.0,SI
SI2402,20230217,17520.0,17520.0,17520.0,17520.0,1,1,8.76,17520.0,17680.0,SI
SI2308,20230220,17300.0,17495.0,17260.0,17470.0,32048,48666,278560.3875,17380.0,17610.0,SI
SI2309,20230220,17460.0,17460.0,17190.0,17365.0,12603,14196,109488.225,17370.0,17550.0,SI
SI2310,20230220,17110.0,17325.0,17110.0,17300.0,17,1706,146.255,17205.0,17550.0,SI
SI2311,20230220,17110.0,17275.0,17015.0,17230.0,25,616,214.3725,17145.0,17270.0,SI
SI2312,20230220,17210.0,17435.0,17125.0,17335.0,16,382,138.23,17275.0,17445.0,SI
SI2401,20230220,17265.0,17265.0,17265.0,17265.0,2,7,17.265,17265.0,17355.0,SI
SI2402,20230220,0.0,0.0,0.0,17435.0,0,1,0.0,17435.0,17520.0,SI
SI2308,20230306,17490.0,17520.0,17290.0,17300.0,36285,47066,316245.205,17430.0,17520.0,SI
SI2309,20230306,17440.0,17440.0,17205.0,17215.0,10729,14926,93204.705,17370.0,17440.0,SI
SI2310,20230306,17260.0,17280.0,17205.0,17205.0,12,1907,103.5225,17250.0,17380.0,SI
SI2311,20230306,17160.0,17230.0,16640.0,17095.0,26,635,222.99,17150.0,17310.0,SI
