symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
SC2002,20200102,483.1,484.4,480.5,482.5,11787,10614,0,481.8,488.1,SC
SC2003,20200102,483.7,483.7,479.7,481.7,5163,12563,0,481.1,486.7,SC
SC2004,20200102,478.9,478.9,475.7,477.4,658,4429,0,477,483,SC
SC2005,20200102,474.7,474.7,472.1,473.5,132,954,0,473.7,479.3,SC
SC2006,20200102,472.6,472.6,470,471.2,25,111,0,470.6,476.5,SC
SC2007,20200102,,,,473.8,0,25,0,473.8,473.8,SC
SC2008,20200102,,,,463.3,0,0,0,463.3,463.3,SC
SC2009,20200102,455.2,464.7,455.2,464.7,8,39,0,458.7,465.9,SC
SC2010,20200102,,,,452,0,1,0,452,459.1,SC
SC2011,20200102,,,,450.6,0,2,0,450.6,457.7,SC
SC2012,20200102,458.2,458.2,458.2,458.2,1,32,0,458.2,462,SC
SC2101,20200102,,,,452.7,0,0,0,452.7,452.7,SC
SC2103,20200102,453.7,453.7,453.7,453.7,1,21,0,453.7,453.7,SC
SC2106,20200102,,,,443,0,5,0,443,443,SC
SC2109,20200102,,,,448,0,10,0,448,448,SC
SC2112,20200102,,,,452.1,0,12,0,452.1,452.1,SC
SC2203,20200102,430.2,430.2,430.2,430.2,2,24,0,430.2,445.6,SC
SC2206,20200102,429.9,429.9,428.8,428.8,3,43,0,429.5,444.9,SC
SC2209,20200102,,,,443.7,0,22,0,443.7,444.7,SC
SC2212,20200102,,,,425.7,0,7,0,425.7,441,SC
NR2002,20200102,10745,10820,10485,10485,1242,4275,0,10740,10715,NR
NR2003,20200102,10780,10930,10555,10600,5081,17693,0,10740,10815,NR
NR2004,20200102,10900,11030,10655,10680,7482,15742,0,10835,10900,NR
NR2005,20200102,10940,11100,10745,10765,1442,4597,0,10910,10975,NR
NR2006,20200102,11075,11140,10795,10840,1848,484,0,10980,11040,NR
NR2007,20200102,,,,11130,0,4,0,11130,11190,NR
NR2008,20200102,,,,11020,0,5,0,11020,11080,NR
NR2009,20200102,,,,11295,0,2,0,11295,11355,NR
NR2010,20200102,,,,11060,0,0,0,11060,11120,NR
NR2011,20200102,,,,10835,0,0,0,10835,10895,NR
NR2012,20200102,,,,10945,0,0,0,10945,11005,NR
SC2002,20200103,481.4,502.9,479.3,499.7,76237,8153,0,487.1,481.8,SC
SC2003,20200103,480.6,502.4,478.6,499,51402,17776,0,488.3,481.1,SC
SC2004,20200103,477.3,496.5,474.8,495.5,5120,5296,0,484.7,477,SC
SC2005,20200103,472.5,491.6,471.7,489.9,1100,1074,0,484.1,473.7,SC
SC2006,20200103,469,488.7,469,486.4,143,138,0,480,470.6,SC
SC2007,20200103,467,483.1,467,483.1,5,27,0,473.6,473.8,SC
SC2008,20200103,476.3,476.3,476.3,476.3,1,1,0,476.3,463.3,SC
SC2009,20200103,459,475.5,459,471.2,5,38,0,469.8,458.7,SC
SC2010,20200103,475,475,475,475,1,2,0,475,452,SC
SC2011,20200103,,,,453.2,0,2,0,453.2,450.6,SC
SC2012,20200103,470.7,470.7,470.7,470.7,1,32,0,470.7,458.2,SC
SC2101,20200103,,,,452.7,0,0,0,452.7,452.7,SC
SC2103,20200103,,,,457.1,0,21,0,457.1,453.7,SC
SC2106,20200103,,,,455,0,5,0,455,443,SC
SC2109,20200103,,,,460.2,0,10,0,460.2,448,SC
SC2112,20200103,,,,452.1,0,12,0,452.1,452.1,SC
SC2203,20200103,450.9,456,432.1,451.5,81,27,0,453.4,430.2,SC
SC2206,20200103,445.7,445.7,444.9,444.9,2,43,0,445.3,429.5,SC
SC2209,20200103,445,445,445,445,1,22,0,445,443.7,SC
SC2212,20200103,440,440,440,440,1,8,0,440,425.7,SC
NR2002,20200103,10485,10615,10485,10510,255,4181,0,10545,10740,NR
NR2003,20200103,10640,10720,10580,10600,3643,17086,0,10635,10740,NR
NR2004,20200103,10635,10810,10635,10705,5463,16162,0,10730,10835,NR
NR2005,20200103,10765,10900,10760,10795,687,4643,0,10810,10910,NR
NR2006,20200103,10885,10950,10815,10855,956,533,0,10875,10980,NR
NR2007,20200103,,,,11100,0,4,0,11100,11130,NR
NR2008,20200103,,,,11020,0,5,0,11020,11020,NR
NR2009,20200103,,,,11295,0,2,0,11295,11295,NR
