symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
CU1001,20100104,59400,60250,59400,59930.0,2480,11940,149023200.0,60090.0,59440.0,CU
CU1002,20100104,60130,60570,59770,60200.0,3674,23228,221505460.0,60290.0,59570.0,CU
CU1003,20100104,59990,60560,59690,60000.0,22144,55850,1334176000.0,60250.0,59520.0,CU
CU1004,20100104,60150,60710,59820,60030.0,285600,161040,17241672000.0,60370.0,59690.0,CU
CU1005,20100104,60480,60840,59850,60220.0,30928,43284,1871144000.0,60500.0,59790.0,CU
CU1006,20100104,60300,60910,60080,60210.0,1412,8906,85609560.0,60630.0,59890.0,CU
CU1007,20100104,60200,60980,60180,60500.0,232,4344,14098640.0,60770.0,59980.0,CU
CU1008,20100104,60250,60990,60090,60410.0,144,3018,8737920.0,60680.0,60000.0,CU
CU1009,20100104,60250,61170,60180,60510.0,114,1676,6923220.0,60730.0,60060.0,CU
CU1010,20100104,60450,61000,60070,60500.0,262,1932,15906020.0,60710.0,60010.0,CU
CU1011,20100104,60570,61050,60010,60700.0,146,740,8881180.0,60830.0,59930.0,CU
CU1012,20100104,60200,61060,60200,60770.0,108,394,6566400.0,60800.0,60060.0,CU
AL1001,20100104,16620,16800,16510,16680.0,2090,23050,34934350.0,16715.0,16700.0,AL
AL1002,20100104,17020,17020,16795,16830.0,3404,36674,57544620.0,16905.0,16910.0,AL
AL1003,20100104,17165,17220,16975,17000.0,14860,72788,253883100.0,17085.0,17075.0,AL
AL1004,20100104,17440,17450,17185,17200.0,131892,127660,2281731600.0,17300.0,17310.0,AL
AL1005,20100104,17570,17570,17310,17355.0,13254,38804,231149760.0,17440.0,17435.0,AL
AL1006,20100104,17505,17550,17210,17390.0,5074,30268,88389080.0,17420.0,17415.0,AL
AL1007,20100104,17490,17505,17355,17400.0,5548,19806,96673900.0,17425.0,17410.0,AL
AL1008,20100104,17520,17575,17485,17520.0,882,3740,15470280.0,17540.0,17520.0,AL
