Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,-3,132,-179,-397,0,0,-97,118,-71
2014-06-18,-2,131,-180,-387,0,0,-96,119,-69
2014-06-19,-1,131,-179,-381,0,0,-97,118,-64
2014-06-20,0,132,-174,-349,0,0,-91,119,-31
2014-06-23,1,130,-188,-345,0,0,-91,118,-30
2014-06-24,2,129,-187,-339,0,-22,-88,117,-27
2014-06-25,3,135,-185,-369,0,-21,-86,117,-25
2014-06-26,5,136,-177,-328,0,-16,-87,117,-23
2014-06-27,6,170,-167,-309,0,-14,-86,145,-21
2014-06-30,8,164,-161,-295,0,-13,-84,141,-19
2014-07-01,9,104,-182,-296,0,-17,-85,99,-18
2014-07-02,9,114,-167,-286,0,-15,-84,120,-17
2014-07-03,9,112,-177,-277,0,-15,-92,118,-16
2014-07-04,10,112,-173,-271,0,-14,-92,115,-16
2014-07-07,9,103,-193,-283,0,-17,-95,111,-14
2014-07-08,9,99,-176,-282,0,-15,-95,109,-14
2014-07-09,9,93,-167,-222,0,-14,-92,103,-14
2014-07-10,9,91,-161,-218,0,-12,-91,103,-13
2014-07-11,9,88,-155,-209,0,-10,-99,100,-11
2014-07-14,9,90,-149,-207,0,-6,-100,106,-9
2014-07-15,9,87,-147,-198,0,-3,-103,104,-9
2014-07-16,9,83,-143,-190,0,-1,-109,100,-9
2014-07-17,10,85,-146,-183,0,-1,-108,105,-9
2014-07-18,12,84,-109,-176,0,-2,-147,102,-9
2014-07-21,13,84,-112,-157,0,-3,-160,104,-9
2014-07-22,13,82,-113,-154,0,-4,-179,99,-9
2014-07-23,14,79,-113,-150,0,-4,-180,98,-9
2014-07-24,14,73,-113,-146,0,-6,-177,92,-9
2014-07-25,14,73,-117,-146,0,-6,-201,91,-16
2014-07-28,15,73,-112,-141,0,-6,-196,89,-16
2014-07-29,15,71,-105,-124,0,-7,-165,81,-16
2014-07-30,15,71,-98,-117,0,-7,-170,82,-17
2014-07-31,17,71,-102,-120,0,-10,-169,81,-17
2014-08-01,17,71,-105,-118,0,-11,-164,79,-17
2014-08-04,18,71,-96,-101,0,-9,-160,78,-18
2014-08-05,18,98,-94,-93,0,-8,-139,104,-19
2014-08-06,20,99,-96,-88,0,-7,-139,104,-18
2014-08-07,20,98,-95,-80,0,-6,-135,104,-19
2014-08-08,21,98,-93,-73,0,-6,-132,105,-20
2014-08-11,24,109,-89,-66,0,-6,-128,106,-23
2014-08-12,24,106,-93,-60,0,-6,-125,106,-24
2014-08-13,24,115,-93,-75,0,-7,-133,107,-25
2014-08-14,25,107,-95,-59,0,-8,-115,97,-26
