Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2014-06-17,0,0,0,0,0,0,0,0,0,0
2014-06-18,-216,1848,-1432,-397,0,0,0,-944,-2769,-3910
2014-06-19,-324,4206,-7372,-6589,0,0,-4320,8,-14568,-28959
2014-06-20,-324,9053,-9878,-8113,0,0,-5290,3430,-15976,-27098
2014-06-23,-324,5357,-8660,-7764,0,0,-2560,1407,-16069,-28613
2014-06-24,-356,5227,-10916,-7764,0,0,-4835,1997,-15439,-32086
2014-06-25,0,5098,-16713,-14883,0,-968,-5715,-226,-15331,-48738
2014-06-26,84,6448,-11903,-8241,0,-506,-4855,-1630,-15606,-36209
2014-06-27,84,1416,-8363,-5945,0,-250,-3115,-1747,-14985,-32905
2014-06-30,-36,-22894,-9866,-5018,0,-334,-3545,-19292,-15258,-76243
2014-07-01,-1300,-26338,-14374,-7378,0,-568,-1025,-21125,-15448,-87556
2014-07-02,-832,-26338,-12372,-9450,0,-704,675,-18947,-15196,-83164
2014-07-03,-418,-27136,-12873,-6018,0,-554,255,-22427,-15621,-84792
2014-07-04,-1804,-34304,-10395,-4079,0,-404,255,-25731,-14549,-91011
2014-07-07,-2264,-31840,-15239,-285,0,-544,715,-22856,-14933,-87246
2014-07-08,-2822,-37402,-11186,10469,0,-510,4515,-27518,-15073,-79527
2014-07-09,-3380,-38194,-14354,10751,0,-750,7365,-28935,-15297,-82794
2014-07-10,-2534,-39589,-16859,13637,0,-946,6445,-32025,-16473,-88344
2014-07-11,-2966,-40681,-19757,15381,0,-1258,7355,-32849,-15667,-90442
2014-07-14,-2660,-40417,-19602,13082,0,-1178,8345,-33449,-15370,-91249
2014-07-15,-1832,-36907,-17665,12254,0,-1154,10345,-31329,-15055,-81343
2014-07-16,-1832,-37603,-16048,10472,0,-1106,13950,-34449,-15253,-81869
2014-07-17,-1472,-38267,-6038,12372,0,-1050,13950,-35749,-15433,-71687
2014-07-18,-1432,-42517,-4724,6516,0,-1060,13950,-39739,-15361,-84367
2014-07-21,1280,-41929,-5051,7044,0,-1088,13215,-38107,-15397,-80033
2014-07-22,994,-45037,-4043,7829,0,-1052,15615,-41539,-15469,-82702
2014-07-23,-956,-40117,-3817,7829,0,-1004,15615,-38767,-15316,-76533
2014-07-24,-676,-40512,-5399,9179,0,-1044,13815,-39845,-14821,-79303
2014-07-25,-1320,-37519,-8563,8011,0,-1104,12045,-37177,-15091,-80718
2014-07-28,276,-34672,-11956,4945,0,-1164,1995,-32081,-14947,-87604
2014-07-29,426,-35913,-8260,4522,0,-1032,3955,-32793,-14931,-84026
2014-07-30,-1014,-37262,-7945,5514,0,-976,4780,-34494,-15139,-86536
2014-07-31,-444,-39108,-7749,6099,0,-934,6480,-37446,-14527,-87629
2014-08-01,-682,-38114,-11727,3339,0,-1274,5635,-37122,-14731,-94676
2014-08-04,-1498,-37191,-11307,3693,0,-1362,-105,-35937,-14323,-98030
2014-08-05,-1210,-37333,-11499,3794,0,-1452,3095,-37185,-12793,-94583
2014-08-06,-274,-34687,-11123,3701,0,-1372,6570,-34585,-13287,-85057
2014-08-07,686,-33202,-9875,4669,0,-1274,8655,-36249,-13413,-80003
2014-08-08,2286,-34280,-7500,4589,0,-1226,8655,-36145,-12957,-76578
2014-08-11,816,-37710,-7593,4735,0,-1250,10635,-39190,-13257,-82814
2014-08-12,-1152,-39236,-5902,4471,0,-1178,10635,-41840,-13188,-87390
2014-08-13,-1152,-43476,-4228,5611,0,-998,17510,-47034,-12636,-86403
2014-08-14,-3600,-40716,-4879,4711,0,-1040,15515,-46499,-12686,-89194
2014-08-15,-3650,-39432,-3169,4239,0,-912,15515,-46887,-10580,-84876
2014-08-18,-2700,-38802,-4129,3984,0,-1032,13850,-47943,-10256,-87028
2014-08-19,-3584,-41506,-1852,4189,0,-772,16010,-47571,-9871,-84957
2014-08-20,-2544,-41090,-1264,4039,0,-632,12950,-47480,-9073,-85094
2014-08-21,-4650,-41090,-1754,4039,0,-632,13445,-45950,-10123,-86715
2014-08-22,-4258,-41825,-566,4054,0,-88,13940,-47463,-9985,-86191
2014-08-25,-5176,-45673,-840,4099,0,956,13940,-48420,-11113,-92227
2014-08-26,-7304,-44441,941,4001,0,1976,13000,-47100,-10345,-89272
2014-08-27,-8424,-45806,4366,3682,0,2680,14350,-48144,-11473,-88769
2014-08-28,-6588,-44402,4503,3976,0,1000,11340,-48760,-10465,-89396
2014-08-29,-8032,-46096,6647,2104,0,2280,9700,-49828,-9407,-92632
2014-09-01,-5738,-44549,7064,2374,0,2652,5685,-49393,-8107,-90012
2014-09-02,-9734,-46454,12836,2134,0,3484,6385,-51681,-7513,-90543
2014-09-03,-7974,-52302,16796,2272,0,4780,5440,-56985,-7081,-95054
2014-09-04,-8788,-58600,18035,810,0,4824,6310,-59313,-6091,-102813
2014-09-05,-10232,-59820,28649,810,0,5736,7370,-60489,-5179,-93155
2014-09-09,-13424,-62900,28999,506,0,5436,9620,-63294,-6521,-101578
2014-09-10,-14386,-63960,31940,666,0,5968,9855,-64852,-5497,-100266
2014-09-11,-14170,-60960,27442,1114,0,5488,10755,-60932,-3301,-94564
2014-09-12,-15640,-62575,20144,1478,0,5012,9835,-62148,-3653,-107547
2014-09-15,-16270,-61119,24330,1634,0,5748,13830,-62016,-4199,-98062
2014-09-16,-15590,-60051,22398,2026,0,5568,12220,-60864,-5515,-99808
2014-09-17,-18180,-61411,26178,1816,0,5988,12920,-61050,-2319,-96058
2014-09-18,-19948,-67039,34596,1606,0,6820,14960,-63870,-1654,-94529
2014-09-19,-21796,-73681,46972,960,0,8260,18530,-68310,19598,-69467
2014-09-22,-21982,-72645,46118,2252,0,8020,18355,-67425,21666,-65641
2014-09-23,-21460,-74220,47240,1948,0,7732,18105,-67875,20815,-67715
2014-09-24,-18964,-74279,55724,913,0,8656,17970,-67347,22570,-54757
2014-09-25,-19364,-76388,51876,577,0,7690,17390,-67945,20815,-65349
2014-09-26,-22014,-78423,58200,436,0,8446,15795,-69397,21166,-65791
2014-09-29,-22398,-76621,57678,483,0,8158,16995,-68709,21166,-63248
2014-09-30,-29482,-74071,59106,-207,0,8906,19465,-67323,22084,-61522
2014-10-08,-29570,-73335,56284,437,0,8298,19090,-67203,21076,-64923
2014-10-09,-33090,-75351,54940,261,0,7848,20790,-69027,21772,-71857
2014-10-10,-33918,-74162,49100,877,0,6808,20490,-67584,20512,-77877
2014-10-13,-32574,-71705,50048,1361,23,6808,19860,-65904,20773,-71310
2014-10-14,-32724,-72085,49912,1091,27,6904,20430,-66006,21949,-70502
2014-10-15,-34740,-71851,52360,762,27,7044,21095,-66210,21053,-70460
2014-10-16,-35338,-71331,52829,714,27,7080,20545,-65650,21193,-69931
2014-10-17,-35096,-71891,52561,567,27,7044,21095,-66226,20815,-71104
2014-10-20,-34296,-71235,53700,667,878,7104,22670,-65146,20761,-64897
2014-10-21,-33996,-70269,57000,520,1053,7232,24770,-64702,20491,-57901
2014-10-22,-33924,-70484,57980,469,2243,7376,23270,-64663,21139,-56594
2014-10-23,-33168,-67800,56552,724,2558,7326,22820,-62449,20761,-52676
2014-10-24,-33712,-68398,56892,360,1776,7326,22540,-62491,21274,-54433
