Date,CarryContract,CurrentContract,CarryPrice,CarryVolume,CurrentPrice,CurrentVolume,AdjustPrice
2012-05-10,201209,201212,6140.0,259996,6168.0,87484,8205.0
2012-05-11,201209,201212,6002.0,206804,6034.0,46950,8071.0
2012-05-14,201209,201212,5976.0,207668,5994.0,36858,8031.0
2012-05-15,201209,201212,5842.0,445150,5861.0,64200,7898.0
2012-05-16,201209,201212,5647.0,599202,5661.0,81578,7698.0
2012-05-17,201209,201212,5763.0,558288,5794.0,78580,7831.0
2012-05-18,201209,201212,5863.0,695576,5896.0,109458,7933.0
2012-05-21,201209,201212,5940.0,405766,5961.0,66012,7998.0
2012-05-22,201209,201212,5890.0,371088,5919.0,42728,7956.0
2012-05-23,201209,201212,5791.0,300170,5811.0,40006,7848.0
2012-05-24,201209,201212,5832.0,301270,5863.0,42678,7900.0
2012-05-25,201209,201212,5904.0,420278,5930.0,49702,7967.0
2012-05-28,201209,201212,5986.0,381418,6018.0,45174,8055.0
2012-05-29,201209,201212,5962.0,349920,6000.0,41038,8037.0
2012-05-30,201209,201212,5801.0,349610,5840.0,44970,7877.0
2012-05-31,201209,201212,5851.0,365958,5880.0,43730,7917.0
2012-06-01,201209,201212,5832.0,296984,5868.0,40768,7905.0
2012-06-04,201209,201212,5949.0,393688,5981.0,62680,8018.0
2012-06-05,201209,201212,5931.0,323394,5969.0,45836,8006.0
2012-06-06,201209,201212,6088.0,343846,6135.0,54192,8172.0
2012-06-07,201209,201212,6134.0,272726,6171.0,45304,8208.0
2012-06-08,201209,201212,5935.0,316480,5982.0,55574,8019.0
2012-06-11,201209,201212,6062.0,207094,6112.0,34572,8149.0
2012-06-12,201209,201212,5989.0,243702,6040.0,28976,8077.0
2012-06-13,201209,201212,6083.0,184636,6129.0,23618,8166.0
2012-06-14,201209,201212,6080.0,189246,6128.0,23642,8165.0
2012-06-15,201209,201212,6070.0,208546,6122.0,31500,8159.0
2012-06-18,201209,201212,6010.0,309918,6055.0,35028,8092.0
2012-06-19,201209,201212,6061.0,168258,6102.0,24832,8139.0
2012-06-20,201209,201212,6010.0,175782,6058.0,27156,8095.0
2012-06-21,201209,201212,5911.0,141540,5952.0,27052,7989.0
2012-06-25,201209,201212,5716.0,162514,5752.0,34760,7789.0
2012-06-26,201209,201212,5791.0,139496,5828.0,26408,7865.0
2012-06-27,201209,201212,5745.0,134318,5783.0,25104,7820.0
2012-06-28,201209,201212,5736.0,120340,5784.0,20482,7821.0
2012-06-29,201209,201212,5751.0,234654,5808.0,55532,7845.0
2012-07-02,201209,201212,5796.0,156980,5845.0,33844,7882.0
2012-07-03,201209,201212,5908.0,186102,5965.0,42430,8002.0
2012-07-04,201209,201212,5948.0,133860,5998.0,34552,8035.0
2012-07-05,201209,201212,5994.0,118224,6041.0,28236,8078.0
2012-07-06,201209,201212,5872.0,148200,5919.0,37600,7956.0
2012-07-09,201209,201212,5808.0,141662,5848.0,40528,7885.0
2012-07-10,201209,201212,5798.0,100886,5835.0,27276,7872.0
2012-07-11,201209,201212,5775.0,95462,5822.0,26732,7859.0
2012-07-12,201209,201212,5743.0,113558,5784.0,29348,7821.0
2012-07-13,201209,201212,5828.0,96864,5871.0,37832,7908.0
2012-07-16,201209,201212,5828.0,90630,5877.0,33634,7914.0
2012-07-17,201209,201212,5830.0,104858,5871.0,52052,7908.0
2012-07-18,201209,201212,5811.0,76044,5847.0,47218,7884.0
2012-07-19,201209,201212,5822.0,64602,5865.0,35042,7902.0
2012-07-20,201209,201212,5799.0,61744,5832.0,37830,7869.0
2012-07-23,201209,201212,5761.0,60596,5790.0,76106,7827.0
2012-07-24,201209,201212,5771.0,38710,5794.0,63916,7831.0
2012-07-25,201209,201212,5737.0,35172,5740.0,81420,7777.0
2012-07-26,201209,201212,5841.0,42646,5872.0,100676,7909.0
2012-07-27,201209,201212,5890.0,30558,5927.0,83740,7964.0
2012-07-30,201209,201212,5864.0,17396,5893.0,66076,7930.0
2012-07-31,201209,201212,5978.0,30532,6024.0,124084,8061.0
2012-08-01,201209,201212,5945.0,14222,5990.0,76542,8027.0
2012-08-02,201209,201212,5855.0,12796,5896.0,67152,7933.0
2012-08-03,201209,201212,5826.0,7340,5862.0,54240,7899.0
2012-08-06,201209,201212,5909.0,7450,5952.0,48632,7989.0
2012-08-07,201209,201212,5922.0,6300,5966.0,38914,8003.0
2012-08-08,201209,201212,5915.0,8268,5955.0,56720,7992.0
2012-08-09,201209,201212,5968.0,7730,6020.0,70034,8057.0
2012-08-10,201209,201212,5929.0,6648,5976.0,56594,8013.0
2012-08-13,201209,201212,5946.0,6754,5995.0,78452,8032.0
2012-08-14,201209,201212,5920.0,4924,5976.0,62094,8013.0
2012-08-15,201209,201212,5897.0,4226,5953.0,42428,7990.0
2012-08-16,201209,201212,5899.0,3732,5952.0,40694,7989.0
2012-08-17,201209,201212,5968.0,6234,6031.0,58038,8068.0
2012-08-20,201209,201212,5948.0,4554,6019.0,53440,8056.0
2012-08-21,201209,201212,6052.0,10510,6148.0,119104,8185.0
2012-08-22,201209,201212,6164.0,12372,6260.0,112388,8297.0
2012-08-23,201209,201212,6396.0,23580,6526.0,418584,8563.0
2012-08-24,201209,201212,6369.0,8786,6487.0,313812,8524.0
2012-08-27,201209,201212,6506.0,14802,6631.0,469970,8668.0
2012-08-28,201209,201212,6432.0,6278,6566.0,226954,8603.0
2012-08-29,201209,201212,6483.0,8806,6620.0,305838,8657.0
2012-08-30,201209,201212,6441.0,8184,6573.0,251916,8610.0
2012-08-31,201209,201212,6370.0,3654,6494.0,208992,8531.0
2012-09-03,201212,201301,6820.0,309066,6846.0,4322,8857.0
2012-09-04,201212,201301,6876.0,270772,6896.0,5588,8907.0
2012-09-05,201212,201301,6879.0,198896,6896.0,3960,8907.0
2012-09-06,201212,201301,7043.0,504852,7049.0,11608,9060.0
2012-09-07,201212,201301,6874.0,566630,6880.0,18486,8891.0
2012-09-10,201212,201301,7213.0,382854,7225.0,16994,9236.0
2012-09-11,201212,201301,7188.0,361810,7202.0,13516,9213.0
2012-09-12,201212,201301,7183.0,283694,7195.0,7622,9206.0
2012-09-13,201212,201301,7056.0,261606,7066.0,7542,9077.0
2012-09-14,201212,201301,7384.0,421404,7392.0,24248,9403.0
2012-09-17,201212,201301,7352.0,225840,7353.0,14456,9364.0
2012-09-18,201212,201301,7289.0,251114,7299.0,10956,9310.0
2012-09-19,201212,201301,7435.0,388030,7437.0,19610,9448.0
2012-09-20,201212,201301,7307.0,382430,7317.0,23764,9328.0
2012-09-21,201212,201301,7409.0,305904,7416.0,21728,9427.0
2012-09-24,201212,201301,7165.0,333096,7177.0,22510,9188.0
2012-09-25,201212,201301,7159.0,223366,7178.0,13414,9189.0
2012-09-26,201212,201301,7150.0,214708,7168.0,15202,9179.0
2012-09-27,201212,201301,7234.0,264536,7242.0,20866,9253.0
2012-09-28,201212,201301,7378.0,228456,7396.0,18528,9407.0
2012-10-08,201212,201301,7107.0,325632,7132.0,27284,9143.0
2012-10-09,201212,201301,7105.0,203654,7131.0,17472,9142.0
2012-10-10,201212,201301,7078.0,206778,7109.0,18644,9120.0
2012-10-11,201212,201301,7120.0,251396,7140.0,23964,9151.0
2012-10-12,201212,201301,7081.0,226352,7108.0,18684,9119.0
2012-10-15,201212,201301,6884.0,203468,6918.0,23216,8929.0
2012-10-16,201212,201301,6868.0,204062,6905.0,28976,8916.0
2012-10-17,201212,201301,6863.0,147290,6907.0,20366,8918.0
2012-10-18,201212,201301,6883.0,182880,6922.0,23838,8933.0
2012-10-19,201212,201301,6759.0,199004,6807.0,28744,8818.0
2012-10-22,201212,201301,6746.0,161502,6783.0,26386,8794.0
2012-10-23,201212,201301,6718.0,190198,6762.0,34666,8773.0
2012-10-24,201212,201301,6739.0,211926,6779.0,44230,8790.0
2012-10-25,201212,201301,6807.0,368844,6846.0,57712,8857.0
2012-10-26,201212,201301,6680.0,344532,6717.0,64900,8728.0
2012-10-29,201212,201301,6721.0,237754,6767.0,51990,8778.0
2012-10-30,201212,201301,6708.0,195374,6748.0,50186,8759.0
2012-10-31,201212,201301,6719.0,152548,6774.0,67024,8785.0
2012-11-01,201212,201301,6834.0,176210,6907.0,179036,8918.0
2012-11-02,201212,201301,6702.0,144240,6752.0,253004,8763.0
2012-11-05,201212,201301,6460.0,122500,6520.0,268620,8531.0
2012-11-06,201212,201301,6517.0,46786,6567.0,167174,8578.0
2012-11-07,201212,201301,6693.0,82772,6754.0,358534,8765.0
2012-11-08,201212,201301,6622.0,34898,6681.0,206414,8692.0
2012-11-09,201212,201301,6717.0,45934,6772.0,262132,8783.0
2012-11-12,201212,201301,6760.0,32246,6819.0,250436,8830.0
2012-11-13,201212,201301,6673.0,20108,6732.0,187232,8743.0
2012-11-14,201212,201301,6755.0,17094,6816.0,181226,8827.0
